"","Date","Experiment","Cell Number","File Name","Folder","Cell Line","Condition","Frequency","Good?","Condition 3","variable","value","unique_id_cell"
"23",2021-02-18,"20210218",5,"21218026","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",188.345327968137,"20210218 Cell_ 5 _ HDF29c7"
"24",2021-02-18,"20210218",5,"21218026","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APD 90 (ms)",182.88,"20210218 Cell_ 5 _ HDF29c7"
"25",2021-02-18,"20210218",5,"21218027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","Ediast (mV)",-83.814754319794,"20210218 Cell_ 5 _ HDF29c7"
"26",2021-02-18,"20210218",5,"21218027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APA (mV)",139.343316135454,"20210218 Cell_ 5 _ HDF29c7"
"27",2021-02-18,"20210218",5,"21218027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","dV/dt max y (V/s)",173.660270071892,"20210218 Cell_ 5 _ HDF29c7"
"28",2021-02-18,"20210218",5,"21218027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APD 90 (ms)",194.4,"20210218 Cell_ 5 _ HDF29c7"
"29",2021-02-18,"20210218",5,"21218029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","Ediast (mV)",-94.2154496265688,"20210218 Cell_ 5 _ HDF29c7"
"30",2021-02-18,"20210218",5,"21218029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APA (mV)",148.295036901676,"20210218 Cell_ 5 _ HDF29c7"
"31",2021-02-18,"20210218",5,"21218029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","dV/dt max y (V/s)",184.722891616758,"20210218 Cell_ 5 _ HDF29c7"
"32",2021-02-18,"20210218",5,"21218029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APD 90 (ms)",192.72,"20210218 Cell_ 5 _ HDF29c7"
