"","Voltage","Cell","Current Density","Group"
"1",-40,"20210413_Cell2_WTC-11",-0.140459908642941,"WT"
"2",-40,"20210413_Cell3_WTC-11",0.256998424148987,"WT"
"3",-40,"20210413_Cell4_WTC-11",0.122251306838061,"WT"
"4",-40,"20210505_Cell1_WTC-11",0.461943722978421,"WT"
"5",-40,"20210505_Cell5_WTC-11",NA,"WT"
"6",-40,"20210505_Cell6_WTC-11",NA,"WT"
"7",-40,"20210622_Cell2_WTC-11",1.5707456480782,"WT"
"8",-40,"20210622_Cell4_WTC-11",0.182987358835008,"WT"
"9",-40,"20210622_Cell7_WTC-11",NA,"WT"
"10",-40,"20210622_Cell8_WTC-11",-0.503740426410986,"WT"
"11",-40,"20210622_Cell9_WTC-11",1.42005679481908,"WT"
"12",-40,"20210622_Cell12_WTC-11",0.258315326221113,"WT"
"13",-40,"20210622_Cell13_WTC-11",-1.65511255992714,"WT"
"14",-40,"20210622_Cell14_WTC-11",-0.0863357354953273,"WT"
"15",-40,"20210622_Cell15_WTC-11",-0.0391895595751745,"WT"
"16",-40,"20210622_Cell16_WTC-11",3.59387232134503,"WT"
"17",-40,"20210623_Cell5_WTC-11",0.0757860900001636,"WT"
"18",-40,"20210623_Cell6_WTC-11",-0.097869346011897,"WT"
"19",-40,"20210623_Cell7_WTC-11",-0.0584814194086433,"WT"
"20",-40,"20210723_Cell13_WTC-11",-0.239395382995522,"WT"
"21",-40,"20210723_Cell18_WTC-11",0.412598450382172,"WT"
"22",-40,"20210726_Cell2_WTC-11",NA,"WT"
"23",-40,"20210726_Cell7_WTC-11",0.057898397619442,"WT"
"24",-40,"20210802_Cell7_WTC-11",0.091466717115491,"WT"
"25",-30,"20210413_Cell2_WTC-11",-0.202847408343144,"WT"
"26",-30,"20210413_Cell3_WTC-11",-0.230262072507785,"WT"
"27",-30,"20210413_Cell4_WTC-11",0.128766907671583,"WT"
"28",-30,"20210505_Cell1_WTC-11",0.227810355681407,"WT"
"29",-30,"20210505_Cell5_WTC-11",NA,"WT"
"30",-30,"20210505_Cell6_WTC-11",NA,"WT"
"31",-30,"20210622_Cell2_WTC-11",2.28521152712264,"WT"
"32",-30,"20210622_Cell4_WTC-11",0.0644302103254528,"WT"
"33",-30,"20210622_Cell7_WTC-11",NA,"WT"
"34",-30,"20210622_Cell8_WTC-11",-0.343745333335932,"WT"
"35",-30,"20210622_Cell9_WTC-11",1.36134445458128,"WT"
"36",-30,"20210622_Cell12_WTC-11",0.206612798927601,"WT"
"37",-30,"20210622_Cell13_WTC-11",-2.16318905573292,"WT"
"38",-30,"20210622_Cell14_WTC-11",0.128969706041493,"WT"
"39",-30,"20210622_Cell15_WTC-11",-0.368778097818953,"WT"
"40",-30,"20210622_Cell16_WTC-11",4.7642294039839,"WT"
"41",-30,"20210623_Cell5_WTC-11",0.0756353735343381,"WT"
"42",-30,"20210623_Cell6_WTC-11",0.429907070821665,"WT"
"43",-30,"20210623_Cell7_WTC-11",-0.090126067668468,"WT"
"44",-30,"20210723_Cell13_WTC-11",-0.489486724875131,"WT"
"45",-30,"20210723_Cell18_WTC-11",0.88442262142494,"WT"
"46",-30,"20210726_Cell2_WTC-11",NA,"WT"
"47",-30,"20210726_Cell7_WTC-11",0.100655736511718,"WT"
"48",-30,"20210802_Cell7_WTC-11",0.0705587952513335,"WT"
"49",-20,"20210413_Cell2_WTC-11",-0.0290788211848613,"WT"
"50",-20,"20210413_Cell3_WTC-11",-0.548260432788443,"WT"
"51",-20,"20210413_Cell4_WTC-11",0.157804284476599,"WT"
"52",-20,"20210505_Cell1_WTC-11",0.43215932725351,"WT"
"53",-20,"20210505_Cell5_WTC-11",NA,"WT"
"54",-20,"20210505_Cell6_WTC-11",NA,"WT"
"55",-20,"20210622_Cell2_WTC-11",3.65409908654555,"WT"
"56",-20,"20210622_Cell4_WTC-11",0.0496817330519358,"WT"
"57",-20,"20210622_Cell7_WTC-11",NA,"WT"
"58",-20,"20210622_Cell8_WTC-11",-0.189228412849432,"WT"
"59",-20,"20210622_Cell9_WTC-11",1.64919562088816,"WT"
"60",-20,"20210622_Cell12_WTC-11",0.1546490007867,"WT"
"61",-20,"20210622_Cell13_WTC-11",-2.70121245740113,"WT"
"62",-20,"20210622_Cell14_WTC-11",0.27830170734981,"WT"
"63",-20,"20210622_Cell15_WTC-11",-0.488976657308759,"WT"
"64",-20,"20210622_Cell16_WTC-11",5.98703693158503,"WT"
"65",-20,"20210623_Cell5_WTC-11",0.256257913659838,"WT"
"66",-20,"20210623_Cell6_WTC-11",0.708027925181227,"WT"
"67",-20,"20210623_Cell7_WTC-11",-0.0428129719184326,"WT"
"68",-20,"20210723_Cell13_WTC-11",-0.449363487307397,"WT"
"69",-20,"20210723_Cell18_WTC-11",1.28931684328242,"WT"
"70",-20,"20210726_Cell2_WTC-11",NA,"WT"
"71",-20,"20210726_Cell7_WTC-11",0.220367222465918,"WT"
"72",-20,"20210802_Cell7_WTC-11",0.102070328447497,"WT"
"73",-10,"20210413_Cell2_WTC-11",0.386817623548396,"WT"
"74",-10,"20210413_Cell3_WTC-11",-0.454079808675007,"WT"
"75",-10,"20210413_Cell4_WTC-11",0.492378276408147,"WT"
"76",-10,"20210505_Cell1_WTC-11",1.31452946723262,"WT"
"77",-10,"20210505_Cell5_WTC-11",NA,"WT"
