,21728047
Time,Voltage
193.40625,39.78271484
193.6015625,39.75830078
193.8046875,39.67285156
194,39.62097168
194.203125,39.63928223
194.40625,39.68811035
194.6015625,39.62402344
194.8046875,39.55993652
195,39.45922852
195.203125,39.46533203
195.40625,39.46838379
195.6015625,39.43481445
195.8046875,39.42260742
196,39.33410645
196.203125,39.33410645
196.40625,39.34020996
196.6015625,39.32189941
196.8046875,39.3157959
197,39.24560547
197.203125,39.29748535
197.40625,39.24255371
197.6015625,39.19372559
197.8046875,39.18762207
198,39.1998291
198.203125,39.11743164
198.40625,39.13269043
198.6015625,39.1418457
198.8046875,39.12963867
199,39.10827637
199.203125,39.0625
199.40625,39.02893066
199.6015625,38.97705078
199.8046875,38.96484375
200,38.89160156
200.203125,38.89770508
200.40625,38.88244629
200.6015625,38.84887695
200.8046875,38.77563477
201,38.70544434
201.203125,38.71154785
201.40625,38.71154785
201.6015625,38.73901367
201.8046875,38.79089355
202,38.7298584
202.203125,38.671875
202.40625,38.66577148
202.6015625,38.71765137
202.8046875,38.6932373
203,38.5925293
203.203125,38.54064941
203.40625,38.56506348
203.6015625,38.53149414
203.8046875,38.50097656
204,38.43078613
204.203125,38.39416504
204.40625,38.34838867
204.6015625,38.36669922
204.8046875,38.3605957
205,38.27819824
205.203125,38.26599121
205.40625,38.21716309
205.6015625,38.24462891
205.8046875,38.24768066
206,38.25378418
206.203125,38.17443848
206.40625,38.15002441
206.6015625,38.14697266
206.8046875,38.11340332
207,38.05236816
207.203125,37.97302246
207.40625,37.99133301
207.6015625,38.01879883
207.8046875,37.98828125
208,38.00354004
208.203125,37.93640137
208.40625,37.89978027
208.6015625,37.79907227
208.8046875,37.86315918
209,37.76245117
209.203125,37.77160645
209.40625,37.70446777
209.6015625,37.68005371
209.8046875,37.71362305
210,37.73803711
210.203125,37.6953125
210.40625,37.62207031
210.6015625,37.64038086
210.8046875,37.62817383
211,37.65869141
211.203125,37.6373291
211.40625,37.57324219
211.6015625,37.51525879
211.8046875,37.55493164
212,37.61291504
212.203125,37.51220703
212.40625,37.50305176
212.6015625,37.53356934
212.8046875,37.42980957
213,37.39013672
213.203125,37.36877441
213.40625,37.27722168
213.6015625,37.22229004
213.8046875,37.2253418
214,37.25280762
214.203125,37.23449707
214.40625,37.20092773
214.6015625,37.18261719
214.8046875,37.14599609
215,37.06359863
215.203125,37.10632324
215.40625,37.08496094
215.6015625,37.04223633
215.8046875,37.06054688
216,37.03613281
216.203125,36.99951172
216.40625,36.95678711
216.6015625,36.95373535
216.8046875,36.91101074
217,36.92016602
217.203125,36.93847656
217.40625,36.89880371
217.6015625,36.88049316
217.8046875,36.81640625
218,36.76452637
218.203125,36.70043945
218.40625,36.65771484
218.6015625,36.66992188
218.8046875,36.72790527
219,36.70959473
219.203125,36.59973145
219.40625,36.5447998
219.6015625,36.5020752
219.8046875,36.49291992
220,36.51733398
220.203125,36.5020752
220.40625,36.45935059
220.6015625,36.42272949
220.8046875,36.33117676
221,36.34033203
221.203125,36.328125
221.40625,36.33728027
221.6015625,36.31591797
221.8046875,36.28234863
222,36.27624512
222.203125,36.24267578
222.40625,36.2121582
222.6015625,36.1541748
222.8046875,36.15112305
223,36.09924316
223.203125,36.08093262
223.40625,36.01989746
223.6015625,35.94665527
223.8046875,35.97106934
224,35.94970703
224.203125,35.87036133
224.40625,35.84289551
224.6015625,35.88256836
224.8046875,35.90393066
225,35.86425781
225.203125,35.83374023
225.40625,35.78796387
225.6015625,35.77880859
225.8046875,35.79711914
226,35.83679199
226.203125,35.75134277
226.40625,35.70861816
226.6015625,35.72387695
226.8046875,35.6628418
227,35.64147949
227.203125,35.6842041
227.40625,35.58044434
227.6015625,35.47058105
227.8046875,35.52856445
228,35.56518555
228.203125,35.62011719
228.40625,35.56518555
228.6015625,35.50415039
228.8046875,35.49804688
229,35.51940918
229.203125,35.44616699
229.40625,35.41564941
229.6015625,35.4309082
229.8046875,35.34851074
230,35.40039063
230.203125,35.34851074
230.40625,35.33935547
230.6015625,35.2935791
230.8046875,35.35766602
231,35.39123535
231.203125,35.44921875
231.40625,35.41259766
231.6015625,35.33325195
231.8046875,35.30883789
232,35.25390625
232.203125,35.22949219
232.40625,35.26611328
232.6015625,35.18066406
232.8046875,35.13793945
233,35.09521484
233.203125,35.10131836
233.40625,35.03112793
233.6015625,34.95788574
233.8046875,34.92736816
234,34.97619629
234.203125,34.9822998
234.40625,34.9395752
234.6015625,34.89379883
234.8046875,34.75646973
235,34.68933105
235.203125,34.75952148
235.40625,34.77783203
235.6015625,34.71374512
235.8046875,34.71679688
236,34.72290039
236.203125,34.71984863
236.40625,34.67102051
236.6015625,34.70153809
236.8046875,34.59777832
237,34.5916748
237.203125,34.53979492
237.40625,34.58557129
237.6015625,34.5123291
237.8046875,34.41162109
238,34.46044922
238.203125,34.44824219
238.40625,34.42077637
238.6015625,34.35668945
238.8046875,34.35668945
239,34.27429199
239.203125,34.28344727
239.40625,34.23156738
239.6015625,34.16137695
239.8046875,34.17053223
240,34.16442871
240.203125,34.09423828
240.40625,34.1217041
240.6015625,34.09729004
240.8046875,34.0423584
241,34.03015137
241.203125,33.98132324
241.40625,34.05151367
241.6015625,34.03625488
241.8046875,34.03930664
242,33.95690918
242.203125,33.98132324
242.40625,33.94470215
242.6015625,33.9263916
242.8046875,33.9050293
243,33.87756348
243.203125,33.9050293
243.40625,33.89282227
243.6015625,33.85620117
243.8046875,33.77075195
244,33.74023438
244.203125,33.72497559
244.40625,33.71276855
244.6015625,33.75854492
244.8046875,33.71276855
245,33.73413086
245.203125,33.67614746
245.40625,33.66394043
245.6015625,33.65478516
245.8046875,33.60595703
246,33.55712891
246.203125,33.57543945
246.40625,33.50524902
246.6015625,33.49304199
246.8046875,33.5357666
247,33.38623047
247.203125,33.44726563
247.40625,33.40454102
247.6015625,33.41674805
247.8046875,33.41674805
248,33.35266113
