,WT 21504029,R190W 21408046,R594Q 21615057,JLNS 21712024
Time,WT,LQT1_R190W,LQT1_R594Q,Compound JLNS
227,-65.85083008,-56.65588379,-50.50964355,-57.74230957
227.1999969,-65.84777832,-56.71386719,-50.51269531,-57.72094727
227.3999939,-65.8996582,-56.75964355,-50.57373047,-57.71179199
227.6000061,-65.87219238,-56.78710938,-50.55541992,-57.70874023
227.8000031,-65.90576172,-56.82678223,-50.55541992,-57.72399902
228,-65.93322754,-56.86035156,-50.60424805,-57.71179199
228.1999969,-65.96984863,-56.89086914,-50.69580078,-57.71179199
228.3999939,-66.02172852,-56.94274902,-50.75683594,-57.7545166
228.6000061,-65.98205566,-56.97937012,-50.71411133,-57.71484375
228.8000031,-66.03393555,-56.99768066,-50.69274902,-57.78198242
229,-66.07971191,-57.03735352,-50.76293945,-57.82165527
229.1999969,-66.02783203,-57.08007813,-50.75378418,-57.88574219
229.3999939,-66.0949707,-57.11975098,-50.78735352,-57.90100098
229.6000061,-66.03393555,-57.15637207,-50.76293945,-57.80334473
229.8000031,-66.08886719,-57.20825195,-50.81481934,-57.82470703
230,-66.0736084,-57.26013184,-50.89111328,-57.88269043
230.1999969,-66.11328125,-57.26928711,-50.87890625,-57.90405273
230.3999939,-66.13464355,-57.30285645,-50.90637207,-57.91625977
230.6000061,-66.17431641,-57.35473633,-50.93383789,-57.9284668
230.8000031,-66.15905762,-57.40661621,-50.9552002,-57.95288086
231,-66.16516113,-57.44018555,-50.95214844,-57.97424316
231.1999969,-66.19567871,-57.48291016,-50.9979248,-57.95288086
231.3999939,-66.22009277,-57.5012207,-51.03149414,-57.99865723
231.6000061,-66.20483398,-57.5378418,-50.97351074,-57.95593262
231.8000031,-66.22619629,-57.58666992,-51.01623535,-57.90100098
232,-66.25671387,-57.61413574,-51.08642578,-57.93457031
232.1999969,-66.25366211,-57.6751709,-51.12609863,-58.02001953
232.3999939,-66.28112793,-57.73010254,-51.11999512,-58.05053711
232.6000061,-66.30554199,-57.75756836,-51.10473633,-58.12683105
232.8000031,-66.28417969,-57.80334473,-51.1505127,-58.05969238
233,-66.34521484,-57.83691406,-51.20544434,-58.05664063
233.1999969,-66.35742188,-57.85827637,-51.19934082,-58.06274414
233.3999939,-66.3848877,-57.91320801,-51.22070313,-58.11462402
233.6000061,-66.33911133,-57.91625977,-51.22070313,-58.18481445
233.8000031,-66.37268066,-57.96813965,-51.26647949,-58.13903809
234,-66.43981934,-58.00476074,-51.25427246,-58.203125
234.1999969,-66.40014648,-58.05358887,-51.28173828,-58.17871094
234.3999939,-66.41845703,-58.0871582,-51.32141113,-58.20922852
234.6000061,-66.46118164,-58.11767578,-51.31225586,-58.16345215
234.8000031,-66.47644043,-58.13903809,-51.32446289,-58.23669434
235,-66.51000977,-58.19091797,-51.33972168,-58.20922852
235.1999969,-66.52832031,-58.23669434,-51.32141113,-58.25195313
235.3999939,-66.56799316,-58.24584961,-51.37939453,-58.24279785
235.6000061,-66.53442383,-58.24890137,-51.41906738,-58.35266113
235.8000031,-66.57714844,-58.30688477,-51.39465332,-58.27331543
236,-66.6229248,-58.32824707,-51.39160156,-58.26416016
236.1999969,-66.64733887,-58.41064453,-51.49841309,-58.26721191
236.3999939,-66.67175293,-58.40454102,-51.44348145,-58.27941895
236.6000061,-66.67785645,-58.45947266,-51.52893066,-58.23669434
236.8000031,-66.69311523,-58.48083496,-51.55944824,-58.24279785
237,-66.70837402,-58.5144043,-51.55944824,-58.21533203
237.1999969,-66.67175293,-58.52661133,-51.58081055,-58.24890137
237.3999939,-66.74194336,-58.5723877,-51.59606934,-58.30688477
237.6000061,-66.76330566,-58.59985352,-51.65710449,-58.27636719
237.8000031,-66.76330566,-58.65783691,-51.6418457,-58.20007324
238,-66.80603027,-58.65783691,-51.59606934,-58.21533203
238.1999969,-66.84875488,-58.71582031,-51.61132813,-58.30078125
238.3999939,-66.85791016,-58.75854492,-51.66931152,-58.35876465
238.6000061,-66.90063477,-58.77990723,-51.74560547,-58.33435059
238.8000031,-66.95251465,-58.79211426,-51.86767578,-58.33129883
239,-66.9128418,-58.85620117,-51.88598633,-58.30078125
239.1999969,-66.9342041,-58.89892578,-51.87683105,-58.36181641
239.3999939,-66.96777344,-58.91723633,-51.85241699,-58.37097168
239.6000061,-66.99523926,-58.95690918,-51.82800293,-58.40759277
239.8000031,-66.9921875,-58.95690918,-51.91345215,-58.38012695
240,-66.9921875,-59.01489258,-51.91650391,-58.36181641
240.1999969,-66.98608398,-59.0423584,-51.96533203,-58.41369629
240.3999939,-67.06237793,-59.07287598,-51.8951416,-58.46252441
240.6000061,-67.10205078,-59.1217041,-51.94702148,-58.49914551
240.8000031,-67.08374023,-59.17663574,-51.9744873,-58.47167969
241,-67.06542969,-59.18273926,-51.98059082,-58.44421387
241.1999969,-67.11730957,-59.23461914,-52.02636719,-58.46862793
241.3999939,-67.13867188,-59.28344727,-52.09960938,-58.53271484
241.6000061,-67.19360352,-59.3170166,-52.11486816,-58.53271484
241.8000031,-67.19360352,-59.35668945,-52.17285156,-58.55407715
242,-67.22717285,-59.38720703,-52.13928223,-58.54187012
242.1999969,-67.24243164,-59.41772461,-52.1270752,-58.51745605
242.3999939,-67.23937988,-59.43908691,-52.19116211,-58.58154297
242.6000061,-67.27600098,-59.45739746,-52.27661133,-58.56933594
242.8000031,-67.26989746,-59.48791504,-52.24914551,-58.60900879
243,-67.28515625,-59.48791504,-52.30102539,-58.63037109
243.1999969,-67.3614502,-59.57641602,-52.33764648,-58.68530273
243.3999939,-67.35229492,-59.60693359,-52.34069824,-58.79211426
243.6000061,-67.41943359,-59.64355469,-52.37121582,-58.78601074
243.8000031,-67.43164063,-59.68017578,-52.39257813,-58.74633789
244,-67.43774414,-59.74121094,-52.38952637,-58.67004395
244.1999969,-67.44689941,-59.74121094,-52.42919922,-58.7097168
244.3999939,-67.48046875,-59.77478027,-52.51159668,-58.81347656
244.6000061,-67.45605469,-59.84802246,-52.52990723,-58.90197754
244.8000031,-67.48352051,-59.86022949,-52.5390625,-58.89587402
245,-67.50183105,-59.91516113,-52.55126953,-58.78295898
245.1999969,-67.50793457,-59.94567871,-52.57263184,-58.85314941
245.3999939,-67.51403809,-59.97924805,-52.63671875,-58.85314941
245.6000061,-67.53234863,-60.00976563,-52.70690918,-58.91113281
245.8000031,-67.60253906,-60.06469727,-52.70080566,-58.92028809
246,-67.61779785,-60.09521484,-52.69165039,-58.92333984
246.1999969,-67.56286621,-60.11962891,-52.72521973,-58.93859863
246.3999939,-67.53234863,-60.15930176,-52.76184082,-58.91418457
246.6000061,-67.59338379,-60.1776123,-52.80151367,-58.9630127
246.8000031,-67.60864258,-60.20202637,-52.89001465,-59.02709961
247,-67.59338379,-60.26611328,-52.91442871,-59.02709961
247.1999969,-67.64526367,-60.2935791,-52.94494629,-58.94775391
247.3999939,-67.68188477,-60.31188965,-52.97546387,-58.95385742
247.6000061,-67.65441895,-60.3515625,-53.01208496,-59.02709961
247.8000031,-67.66662598,-60.40649414,-53.05786133,-59.03930664
248,-67.67578125,-60.41870117,-53.07922363,-59.06677246
248.1999969,-67.69104004,-60.4309082,-53.14331055,-59.07897949
248.3999939,-67.7154541,-60.46142578,-53.17993164,-59.1217041
248.6000061,-67.70019531,-60.48278809,-53.27148438,-59.14916992
248.8000031,-67.74291992,-60.5255127,-53.33557129,-59.18273926
249,-67.77954102,-60.57128906,-53.32946777,-59.19189453
249.1999969,-67.80395508,-60.63232422,-53.40576172,-59.17358398
249.3999939,-67.82226563,-60.65673828,-53.47290039,-59.1796875
249.6000061,-67.80395508,-60.7208252,-53.4576416,-59.26208496
249.8000031,-67.83447266,-60.76660156,-53.50341797,-59.24072266
250,-67.85888672,-60.77880859,-53.50646973,-59.28039551
250.1999969,-67.86804199,-60.83679199,-53.52172852,-59.28955078
250.3999939,-67.86804199,-60.84289551,-53.56750488,-59.3170166
250.6000061,-67.87414551,-60.87341309,-53.61328125,-59.30480957
250.8000031,-67.87414551,-60.93444824,-53.66821289,-59.33837891
251,-67.89550781,-60.91003418,-53.66516113,-59.31396484
251.1999969,-67.92297363,-60.97412109,-53.65600586,-59.32922363
251.3999939,-67.96264648,-60.98327637,-53.68041992,-59.30480957
251.6000061,-67.93212891,-61.0534668,-53.67736816,-59.36279297
251.8000031,-67.96569824,-61.09619141,-53.79943848,-59.34753418
252,-67.99926758,-61.12060547,-53.83300781,-59.35974121
252.1999969,-67.99621582,-61.18774414,-53.86657715,-59.39941406
252.3999939,-68.03283691,-61.23657227,-53.92150879,-59.50622559
252.6000061,-68.01147461,-61.2487793,-53.87268066,-59.53979492
252.8000031,-68.08166504,-61.27624512,-53.97033691,-59.49707031
253,-68.09997559,-61.328125,-53.9276123,-59.53369141
253.1999969,-68.11218262,-61.33117676,-53.91540527,-59.50927734
253.3999939,-68.13049316,-61.37695313,-53.97949219,-59.56726074
253.6000061,-68.1427002,-61.42578125,-53.93371582,-59.58557129
253.8000031,-68.13354492,-61.46850586,-53.9855957,-59.53369141
254,-68.09387207,-61.51733398,-53.98254395,-59.58251953
254.1999969,-68.15490723,-61.54785156,-54.06188965,-59.52758789
254.3999939,-68.16711426,-61.56311035,-54.06188965,-59.54589844
254.6000061,-68.17932129,-61.60583496,-54.11376953,-59.56115723
254.8000031,-68.20373535,-61.66992188,-54.05578613,-59.59472656
255,-68.21594238,-61.67907715,-54.11376953,-59.5916748
255.1999969,-68.2220459,-61.72485352,-54.14123535,-59.60083008
255.3999939,-68.24645996,-61.77978516,-54.18701172,-59.61608887
255.6000061,-68.25561523,-61.82556152,-54.15344238,-59.69238281
255.8000031,-68.2800293,-61.85302734,-54.1015625,-59.68017578
256,-68.29833984,-61.89575195,-54.07104492,-59.72595215
256.2000122,-68.31970215,-61.95373535,-54.11376953,-59.71374512
256.3999939,-68.33496094,-61.97509766,-54.17175293,-59.67102051
256.6000061,-68.36242676,-62.03918457,-54.21447754,-59.71069336
256.7999878,-68.35021973,-62.07885742,-54.2388916,-59.77478027
257,-68.38989258,-62.11242676,-54.26330566,-59.81140137
257.2000122,-68.39904785,-62.17651367,-54.2388916,-59.74731445
257.3999939,-68.45703125,-62.20703125,-54.29992676,-59.82666016
257.6000061,-68.4173584,-62.27111816,-54.36401367,-59.82666016
257.7999878,-68.44787598,-62.2833252,-54.40063477,-59.78088379
258,-68.46618652,-62.34130859,-54.42504883,-59.765625
258.2000122,-68.52111816,-62.37487793,-54.40673828,-59.86022949
258.3999939,-68.49365234,-62.42370605,-54.46166992,-59.89990234
258.6000061,-68.50280762,-62.45422363,-54.5135498,-59.88769531
258.7999878,-68.48144531,-62.50305176,-54.52270508,-59.91821289
259,-68.50585938,-62.55187988,-54.60510254,-59.98535156
259.2000122,-68.54553223,-62.60681152,-54.62036133,-59.98840332
259.3999939,-68.56994629,-62.65563965,-54.62646484,-59.99145508
259.6000061,-68.58520508,-62.70751953,-54.6875,-60.0189209
259.7999878,-68.57910156,-62.71057129,-54.70275879,-60.06164551
260,-68.59741211,-62.77770996,-54.67834473,-60.08605957
260.2000122,-68.60961914,-62.83569336,-54.70275879,-60.03723145
260.3999939,-68.64013672,-62.84179688,-54.73937988,-60.01586914
260.6000061,-68.6340332,-62.90588379,-54.7668457,-60.12573242
260.7999878,-68.6706543,-62.9486084,-54.78210449,-60.15930176
261,-68.65539551,-63.00964355,-54.91027832,-60.12268066
261.2000122,-68.65539551,-63.03100586,-54.93469238,-60.11047363
261.3999939,-68.70727539,-63.0859375,-54.94384766,-60.15319824
261.6000061,-68.74389648,-63.10119629,-54.94689941,-60.11657715
261.7999878,-68.70117188,-63.15612793,-54.97436523,-60.16845703
262,-68.75610352,-63.19885254,-55.01403809,-60.14404297
262.2000122,-68.70422363,-63.24768066,-55.02319336,-60.18371582
262.3999939,-68.82019043,-63.29040527,-55.078125,-60.16845703
262.6000061,-68.77441406,-63.31787109,-55.08117676,-60.22644043
262.7999878,-68.80187988,-63.36975098,-55.12084961,-60.31188965
263,-68.79882813,-63.37890625,-55.20935059,-60.29968262
263.2000122,-68.78662109,-63.43078613,-55.26123047,-60.38513184
263.3999939,-68.80187988,-63.46130371,-55.30700684,-60.34545898
263.6000061,-68.83544922,-63.50097656,-55.2947998,-60.39733887
263.7999878,-68.8293457,-63.54064941,-55.40466309,-60.45532227
264,-68.8079834,-63.59863281,-55.39855957,-60.47668457
264.2000122,-68.83544922,-63.63220215,-55.42602539,-60.45532227
264.3999939,-68.87512207,-63.65966797,-55.42297363,-60.47058105
264.6000061,-68.87817383,-63.66577148,-55.49316406,-60.4888916
264.7999878,-68.85375977,-63.71459961,-55.51757813,-60.53161621
265,-68.90869141,-63.76342773,-55.59387207,-60.50109863
265.2000122,-68.93920898,-63.80004883,-55.65185547,-60.59875488
265.3999939,-68.90563965,-63.85498047,-55.61218262,-60.57434082
265.6000061,-68.91479492,-63.8885498,-55.65795898,-60.59265137
265.7999878,-68.95141602,-63.93737793,-55.67321777,-60.59875488
266,-68.96362305,-63.9465332,-55.71289063,-60.61401367
266.2000122,-68.9666748,-63.99536133,-55.77087402,-60.71472168
266.3999939,-69.0246582,-64.02587891,-55.7800293,-60.73303223
266.6000061,-69.04296875,-64.06555176,-55.85632324,-60.71166992
266.7999878,-69.04907227,-64.10827637,-55.89599609,-60.76660156
267,-69.00024414,-64.10827637,-55.97229004,-60.8215332
267.2000122,-69.07043457,-64.19677734,-55.98754883,-60.84899902
267.3999939,-69.03686523,-64.21203613,-55.97839355,-60.85205078
267.6000061,-69.10095215,-64.24865723,-56.02111816,-60.89782715
267.7999878,-69.13757324,-64.28222656,-56.01806641,-60.88867188
268,-69.11315918,-64.30969238,-56.10656738,-60.92834473
268.2000122,-69.09484863,-64.36157227,-56.1340332,-60.9375
268.3999939,-69.09179688,-64.42565918,-56.18286133,-61.02294922
268.6000061,-69.08874512,-64.41650391,-56.18896484,-60.97717285
268.7999878,-69.16503906,-64.47753906,-56.25915527,-61.02905273
269,-69.16809082,-64.50805664,-56.35375977,-61.05651855
269.2000122,-69.16503906,-64.52941895,-56.35986328,-61.00463867
269.3999939,-69.17724609,-64.56604004,-56.34765625,-61.04431152
269.6000061,-69.14672852,-64.60266113,-56.45446777,-61.10534668
269.7999878,-69.15893555,-64.66674805,-56.41479492,-61.16027832
270,-69.2199707,-64.69116211,-56.4239502,-61.14807129
270.2000122,-69.20471191,-64.72473145,-56.43920898,-61.19689941
270.3999939,-69.1986084,-64.75524902,-56.46057129,-61.21826172
270.6000061,-69.20776367,-64.77661133,-56.48803711,-61.19995117
270.7999878,-69.22607422,-64.8223877,-56.57653809,-61.25183105
271,-69.20776367,-64.8651123,-56.59484863,-61.30065918
271.2000122,-69.2199707,-64.91088867,-56.59484863,-61.27624512
271.3999939,-69.21691895,-64.92919922,-56.63146973,-61.24572754
271.6000061,-69.2565918,-64.9597168,-56.57348633,-61.23046875
271.7999878,-69.29016113,-65.02075195,-56.70166016,-61.28234863
272,-69.21081543,-65.07263184,-56.71386719,-61.25488281
272.2000122,-69.23522949,-65.1184082,-56.78100586,-61.28540039
272.3999939,-69.29016113,-65.13061523,-56.81152344,-61.2701416
272.6000061,-69.32678223,-65.17028809,-56.84814453,-61.34643555
272.7999878,-69.3145752,-65.18554688,-56.8359375,-61.28845215
273,-69.30541992,-65.21911621,-56.78710938,-61.33422852
273.2000122,-69.34509277,-65.23742676,-56.82373047,-61.3067627
273.3999939,-69.37866211,-65.32287598,-56.7779541,-61.34643555
273.6000061,-69.46716309,-65.3503418,-56.84204102,-61.40441895
273.7999878,-69.44274902,-65.40527344,-56.89086914,-61.4440918
274,-69.4732666,-65.44189453,-56.96105957,-61.4654541
274.2000122,-69.50683594,-65.46936035,-57.00073242,-61.38916016
274.3999939,-69.4519043,-65.51513672,-57.0098877,-61.38916016
274.6000061,-69.52514648,-65.53649902,-56.97021484,-61.41967773
274.7999878,-69.57092285,-65.57922363,-57.01904297,-61.48376465
275,-69.58007813,-65.60668945,-57.04345703,-61.45324707
275.2000122,-69.60144043,-65.64941406,-57.05566406,-61.51733398
275.3999939,-69.62890625,-65.70739746,-57.11364746,-61.51428223
275.6000061,-69.6472168,-65.73791504,-57.15332031,-61.50512695
275.7999878,-69.65026855,-65.77758789,-57.15332031,-61.48071289
276,-69.68994141,-65.83862305,-57.13500977,-61.5020752
276.2000122,-69.68688965,-65.84472656,-57.25708008,-61.52038574
276.3999939,-69.71130371,-65.8996582,-57.3059082,-61.54785156
276.6000061,-69.7265625,-65.93322754,-57.25708008,-61.55395508
276.7999878,-69.75402832,-65.94543457,-57.27233887,-61.5814209
277,-69.76623535,-65.98205566,-57.34558105,-61.5814209
277.2000122,-69.81201172,-66.02478027,-57.37915039,-61.59667969
277.3999939,-69.78759766,-66.08276367,-57.3425293,-61.68212891
277.6000061,-69.80895996,-66.13769531,-57.38830566,-61.69128418
277.7999878,-69.8425293,-66.17126465,-57.41577148,-61.62109375
278,-69.83947754,-66.1895752,-57.43713379,-61.61804199
278.2000122,-69.87609863,-66.24755859,-57.48596191,-61.66381836
278.3999939,-69.91882324,-66.25061035,-57.51953125,-61.74621582
278.6000061,-69.94018555,-66.30249023,-57.59277344,-61.74316406
278.7999878,-69.95544434,-66.37573242,-57.64465332,-61.70349121
279,-70.01342773,-66.40625,-57.6965332,-61.74926758
279.2000122,-70.00732422,-66.41235352,-57.63244629,-61.79199219
279.3999939,-70.01342773,-66.47644043,-57.70874023,-61.7980957
279.6000061,-70.0012207,-66.49169922,-57.71179199,-61.7401123
279.7999878,-70.0378418,-66.51916504,-57.73010254,-61.78894043
280,-70.01037598,-66.58630371,-57.76367188,-61.84997559
280.2000122,-70.02258301,-66.62902832,-57.84301758,-61.8927002
280.3999939,-70.04089355,-66.65039063,-57.87963867,-61.88049316
280.6000061,-70.08361816,-66.69616699,-57.93457031,-61.88354492
280.7999878,-70.11413574,-66.71142578,-57.9498291,-61.88354492
281,-70.1171875,-66.75415039,-57.98950195,-61.9140625
281.2000122,-70.1171875,-66.79992676,-58.05358887,-61.97814941
281.3999939,-70.11108398,-66.86706543,-58.07189941,-61.97814941
281.6000061,-70.15380859,-66.87316895,-58.0871582,-61.96899414
281.7999878,-70.13244629,-66.89147949,-58.203125,-62.03613281
282,-70.12023926,-66.93725586,-58.24279785,-62.03308105
282.2000122,-70.14465332,-66.96472168,-58.25500488,-62.00561523
282.3999939,-70.1751709,-67.01049805,-58.26721191,-62.11242676
282.6000061,-70.21789551,-67.08068848,-58.35571289,-62.17346191
282.7999878,-70.22399902,-67.06542969,-58.33129883,-62.06665039
283,-70.21179199,-67.12341309,-58.3984375,-62.06665039
283.2000122,-70.24230957,-67.15698242,-58.49304199,-62.20703125
283.3999939,-70.22094727,-67.17224121,-58.46862793,-62.28027344
283.6000061,-70.26367188,-67.20581055,-58.48999023,-62.23449707
283.7999878,-70.23620605,-67.23022461,-58.50219727,-62.23144531
284,-70.27587891,-67.26074219,-58.60595703,-62.20703125
284.2000122,-70.27282715,-67.29431152,-58.69750977,-62.23449707
284.3999939,-70.2911377,-67.33093262,-58.77380371,-62.31384277
284.6000061,-70.33081055,-67.37976074,-58.77380371,-62.3626709
284.7999878,-70.33996582,-67.39196777,-58.71887207,-62.32299805
285,-70.32775879,-67.45910645,-58.79821777,-62.37487793
285.2000122,-70.35827637,-67.48352051,-58.8684082,-62.39318848
285.3999939,-70.3704834,-67.48962402,-58.93249512,-62.40234375
285.6000061,-70.36743164,-67.53234863,-59.01794434,-62.4420166
285.7999878,-70.3704834,-67.56896973,-59.05456543,-62.41760254
286,-70.38269043,-67.57507324,-59.1217041,-62.43896484
286.2000122,-70.40710449,-67.63000488,-59.18884277,-62.46337891
286.3999939,-70.46508789,-67.66052246,-59.13085938,-62.53967285
286.6000061,-70.48950195,-67.68493652,-59.22546387,-62.56103516
286.7999878,-70.49560547,-67.73071289,-59.2956543,-62.57324219
287,-70.51391602,-67.7734375,-59.32006836,-62.55187988
287.2000122,-70.5078125,-67.80090332,-59.40246582,-62.55187988
287.3999939,-70.51086426,-67.83447266,-59.40856934,-62.56408691
287.6000061,-70.52307129,-67.83752441,-59.41772461,-62.58239746
287.7999878,-70.55053711,-67.89550781,-59.48486328,-62.62207031
288,-70.56884766,-67.91687012,-59.5123291,-62.68615723
288.2000122,-70.55969238,-67.92602539,-59.52453613,-62.71362305
288.3999939,-70.57189941,-67.97485352,-59.58862305,-62.76245117
288.6000061,-70.55053711,-68.00231934,-59.62219238,-62.82348633
288.7999878,-70.53527832,-68.04504395,-59.64660645,-62.81738281
289,-70.56884766,-68.06945801,-59.6496582,-62.78686523
289.2000122,-70.5871582,-68.09997559,-59.68017578,-62.75024414
289.3999939,-70.61462402,-68.11218262,-59.76867676,-62.82958984
289.6000061,-70.64208984,-68.15490723,-59.78393555,-62.87841797
289.7999878,-70.63293457,-68.17016602,-59.86938477,-62.89672852
290,-70.65429688,-68.23120117,-59.86938477,-62.84790039
290.2000122,-70.69091797,-68.27087402,-59.93347168,-62.93640137
290.3999939,-70.703125,-68.3013916,-59.95178223,-62.94250488
290.6000061,-70.70617676,-68.32580566,-59.99755859,-62.98828125
290.7999878,-70.74584961,-68.35021973,-60.06164551,-62.93945313
291,-70.74890137,-68.40515137,-60.07995605,-62.94250488
291.2000122,-70.75805664,-68.42651367,-60.11047363,-63.00964355
291.3999939,-70.75805664,-68.45397949,-60.12573242,-62.95166016
291.6000061,-70.77026367,-68.48144531,-60.1776123,-63.07678223
291.7999878,-70.78552246,-68.5333252,-60.17150879,-63.10119629
292,-70.82519531,-68.57299805,-60.18981934,-63.0645752
292.2000122,-70.86486816,-68.59130859,-60.19287109,-63.10119629
292.3999939,-70.89233398,-68.6126709,-60.22033691,-63.13476563
292.6000061,-70.90454102,-68.65234375,-60.2935791,-63.16833496
292.7999878,-70.94116211,-68.6920166,-60.37902832,-63.18969727
293,-70.93200684,-68.74084473,-60.40039063,-63.16223145
293.2000122,-70.86791992,-68.74694824,-60.40344238,-63.19274902
293.3999939,-70.90454102,-68.8079834,-60.42480469,-63.21411133
293.6000061,-70.90148926,-68.83544922,-60.46447754,-63.22021484
293.7999878,-70.93505859,-68.87512207,-60.45227051,-63.25073242
294,-70.91064453,-68.91784668,-60.49499512,-63.26293945
294.2000122,-70.92590332,-68.95751953,-60.53771973,-63.21411133
294.3999939,-70.93505859,-68.97277832,-60.5682373,-63.2598877
294.6000061,-70.93200684,-69.00634766,-60.54077148,-63.31481934
294.7999878,-70.98693848,-69.04907227,-60.57128906,-63.37585449
295,-71.03881836,-69.03076172,-60.61706543,-63.33312988
295.2000122,-71.0144043,-69.09179688,-60.59265137,-63.33007813
295.3999939,-70.99914551,-69.14672852,-60.59875488,-63.35754395
295.6000061,-71.04187012,-69.16503906,-60.54382324,-63.37585449
295.7999878,-71.02355957,-69.21081543,-60.61706543,-63.40026855
296,-71.06018066,-69.22302246,-60.68725586,-63.45214844
296.2000122,-71.05102539,-69.29321289,-60.73913574,-63.42773438
296.3999939,-71.09069824,-69.3145752,-60.76965332,-63.44909668
296.6000061,-71.06018066,-69.32983398,-60.77575684,-63.44299316
296.7999878,-71.0723877,-69.34204102,-60.76660156,-63.48266602
297,-71.09069824,-69.38171387,-60.79406738,-63.46740723
297.2000122,-71.11206055,-69.40917969,-60.81237793,-63.51318359
297.3999939,-71.12121582,-69.45495605,-60.84289551,-63.5345459
297.6000061,-71.17004395,-69.48242188,-60.89782715,-63.52539063
297.7999878,-71.17614746,-69.48547363,-60.89782715,-63.50402832
298,-71.1517334,-69.52819824,-60.96496582,-63.58947754
298.2000122,-71.21887207,-69.55871582,-60.9588623,-63.54064941
298.3999939,-71.20056152,-69.58312988,-60.9588623,-63.62609863
298.6000061,-71.20666504,-69.6105957,-60.98022461,-63.63220215
298.7999878,-71.21276855,-69.67468262,-61.02294922,-63.66577148
299,-71.20666504,-69.66552734,-61.0534668,-63.67492676
299.2000122,-71.24633789,-69.69909668,-61.09924316,-63.64746094
299.3999939,-71.29516602,-69.72961426,-61.11755371,-63.69934082
299.6000061,-71.27075195,-69.75402832,-61.1907959,-63.71459961
299.7999878,-71.30432129,-69.80285645,-61.21826172,-63.68103027
300,-71.33483887,-69.84863281,-61.23352051,-63.71154785
300.2000122,-71.32873535,-69.85168457,-61.25183105,-63.72375488
300.3999939,-71.3684082,-69.87304688,-61.24267578,-63.81530762
300.6000061,-71.38977051,-69.9005127,-61.31896973,-63.82141113
300.7999878,-71.41113281,-69.93103027,-61.41662598,-63.80615234
301,-71.4263916,-70.0012207,-61.42883301,-63.83972168
301.2000122,-71.43859863,-69.99206543,-61.47155762,-63.83361816
301.3999939,-71.44165039,-70.02563477,-61.59057617,-63.85803223
301.6000061,-71.51794434,-70.06835938,-61.63330078,-63.92211914
301.7999878,-71.48742676,-70.10803223,-61.57531738,-63.9465332
302,-71.49353027,-70.10803223,-61.64855957,-63.8671875
302.2000122,-71.49963379,-70.13549805,-61.67297363,-63.89160156
302.3999939,-71.46911621,-70.15686035,-61.67602539,-63.95263672
302.6000061,-71.53930664,-70.18432617,-61.67907715,-63.96179199
302.7999878,-71.54541016,-70.22094727,-61.73706055,-63.95874023
303,-71.56982422,-70.24230957,-61.86218262,-64.01062012
303.2000122,-71.60339355,-70.26367188,-61.7980957,-64.09301758
303.3999939,-71.64916992,-70.30334473,-61.86828613,-64.10522461
303.6000061,-71.62475586,-70.32470703,-61.93237305,-64.14794922
303.7999878,-71.68273926,-70.35827637,-61.94458008,-64.20593262
304,-71.68273926,-70.37963867,-62.02392578,-64.1784668
304.2000122,-71.70410156,-70.41015625,-62.03613281,-64.16320801
304.3999939,-71.69189453,-70.46203613,-62.04833984,-64.19067383
304.6000061,-71.70715332,-70.49865723,-62.10632324,-64.22119141
304.7999878,-71.69189453,-70.53833008,-62.11547852,-64.26391602
305,-71.67358398,-70.55969238,-62.15820313,-64.21508789
305.2000122,-71.69189453,-70.57800293,-62.28027344,-64.27307129
305.3999939,-71.77734375,-70.61157227,-62.36877441,-64.33105469
305.6000061,-71.71020508,-70.63903809,-62.28637695,-64.3157959
305.7999878,-71.69799805,-70.63293457,-62.35046387,-64.34631348
306,-71.72851563,-70.6817627,-62.43286133,-64.33410645
306.2000122,-71.76208496,-70.67871094,-62.42675781,-64.37683105
306.3999939,-71.80175781,-70.74279785,-62.51220703,-64.40429688
306.6000061,-71.77734375,-70.73669434,-62.53967285,-64.41955566
306.7999878,-71.7590332,-70.79467773,-62.59765625,-64.44702148
307,-71.81396484,-70.80688477,-62.58544922,-64.45922852
307.2000122,-71.84753418,-70.83740234,-62.6739502,-64.49279785
307.3999939,-71.80786133,-70.8770752,-62.74719238,-64.48669434
307.6000061,-71.87805176,-70.8984375,-62.80517578,-64.5904541
307.7999878,-71.89025879,-70.93505859,-62.84179688,-64.62097168
308,-71.91162109,-70.95947266,-62.87231445,-64.60266113
308.2000122,-71.90551758,-70.98083496,-62.92114258,-64.59960938
308.3999939,-71.98486328,-71.01745605,-62.97302246,-64.60876465
308.6000061,-71.91467285,-71.01745605,-63.01879883,-64.65759277
308.7999878,-71.9329834,-71.08154297,-63.07373047,-64.70031738
309,-72.00012207,-71.13037109,-63.11035156,-64.70031738
309.2000122,-71.95739746,-71.15783691,-63.11645508,-64.74914551
309.3999939,-71.95129395,-71.15783691,-63.19274902,-64.73693848
309.6000061,-71.98181152,-71.20056152,-63.2232666,-64.72167969
309.7999878,-71.98486328,-71.22192383,-63.21716309,-64.74304199
310,-72.0123291,-71.25854492,-63.25683594,-64.73693848
310.2000122,-72.03063965,-71.26159668,-63.24768066,-64.75524902
310.3999939,-72.03063965,-71.31347656,-63.26904297,-64.81018066
310.6000061,-72.08251953,-71.3470459,-63.29345703,-64.89868164
