,WT 21504029,R190W 21408046,R594Q 21615057,JLNS 21712024
Time,WT,LQT1_R190W,LQT1_R594Q,Compound JLNS
18.79999924,43.44177246,-45.1385498,41.94030762,-18.71643066
19,48.3795166,-44.75708008,47.76916504,18.75610352
19.20000076,49.80163574,-44.25048828,49.75891113,36.59362793
19.39999962,50.53405762,-43.67370605,50.56762695,42.2088623
19.60000038,51.04675293,-42.97180176,50.93383789,44.52819824
19.79999924,51.4831543,-42.11120605,51.11694336,45.92895508
20,51.87683105,-41.00036621,51.2298584,47.0123291
20.20000076,52.19421387,-39.19067383,51.33056641,47.82409668
20.39999962,52.49938965,-33.84094238,51.39160156,48.51989746
20.60000038,52.68249512,-6.503295898,51.4465332,49.08447266
20.79999924,52.8503418,49.16992188,51.51977539,49.56970215
21,52.99377441,55.71899414,51.51367188,49.97253418
21.20000076,53.16467285,56.12182617,51.51367188,50.28381348
21.39999962,53.23791504,56.2713623,51.4465332,50.52185059
21.60000038,53.27758789,56.34155273,51.39465332,50.70495605
21.79999924,53.32336426,56.39648438,51.33972168,50.88500977
22,53.35388184,56.4239502,51.24511719,51.06811523
22.20000076,53.35998535,56.46362305,51.24206543,51.19018555
22.39999962,53.34472656,56.4666748,51.22375488,51.29089355
22.60000038,53.33862305,56.43615723,51.13830566,51.3458252
22.79999924,53.28674316,56.45446777,51.04370117,51.3885498
23,53.24401855,56.42089844,50.97045898,51.40380859
23.20000076,53.19519043,56.33850098,50.97045898,51.46484375
23.39999962,53.15246582,56.30187988,50.88500977,51.52282715
23.60000038,53.11584473,56.22558594,50.86975098,51.58081055
23.79999924,53.00598145,56.17980957,50.79040527,51.6204834
24,52.89001465,56.08215332,50.7232666,51.69067383
24.20000076,52.81066895,56.02416992,50.65307617,51.70898438
24.39999962,52.74963379,55.88684082,50.60119629,51.68762207
24.60000038,52.68859863,55.79223633,50.54931641,51.68457031
24.79999924,52.5970459,55.68237305,50.53710938,51.6784668
25,52.5390625,55.60913086,50.48828125,51.61437988
25.20000076,52.39257813,55.49316406,50.41809082,51.61437988
25.39999962,52.26135254,55.40161133,50.28991699,51.54418945
25.60000038,52.16064453,55.33752441,50.27160645,51.48620605
25.79999924,52.07519531,55.20019531,50.22277832,51.44348145
26,51.96533203,55.09338379,50.04882813,51.39770508
26.20000076,51.82495117,54.9407959,50.01831055,51.31225586
26.39999962,51.79443359,54.83703613,49.96948242,51.20239258
26.60000038,51.66320801,54.71801758,49.92980957,51.1505127
26.79999924,51.58691406,54.61425781,49.81384277,51.08947754
27,51.51062012,54.48303223,49.78637695,51.12609863
27.20000076,51.3671875,54.35791016,49.72229004,51.04064941
27.39999962,51.29699707,54.26635742,49.75280762,50.96130371
27.60000038,51.21765137,54.10766602,49.75891113,50.8605957
27.79999924,51.13220215,54.01306152,49.66125488,50.77514648
28,51.05285645,53.86657715,49.61242676,50.74768066
28.20000076,50.97351074,53.75671387,49.56665039,50.65307617
28.39999962,50.8605957,53.60412598,49.54223633,50.52490234
28.60000038,50.7598877,53.515625,49.45678711,50.47912598
28.79999924,50.69274902,53.41796875,49.37438965,50.44250488
29,50.61035156,53.30200195,49.35913086,50.4699707
29.20000076,50.53405762,53.18603516,49.25842285,50.4119873
29.39999962,50.46691895,53.04260254,49.21569824,50.32958984
29.60000038,50.46691895,52.93273926,49.14245605,50.25024414
29.79999924,50.39367676,52.78930664,49.1607666,50.1739502
30,50.2746582,52.64892578,49.0814209,50.11901855
30.20000076,50.21972656,52.55737305,49.0234375,50.06408691
30.39999962,50.09460449,52.46582031,48.91357422,50.02441406
30.60000038,50.09155273,52.34375,48.89526367,49.9206543
30.79999924,50.01220703,52.18200684,48.83728027,49.78027344
31,49.86572266,52.08740234,48.73962402,49.78637695
31.20000076,49.83825684,51.95007324,48.75793457,49.76196289
31.39999962,49.83520508,51.85241699,48.73352051,49.77111816
31.60000038,49.76196289,51.73950195,48.73962402,49.73144531
31.79999924,49.65515137,51.61743164,48.67553711,49.6887207
32,49.57580566,51.51672363,48.62670898,49.57885742
32.20000076,49.54528809,51.37939453,48.56872559,49.57275391
32.40000153,49.43237305,51.24206543,48.56567383,49.54833984
32.59999847,49.35913086,51.14135742,48.45581055,49.51477051
32.79999924,49.29504395,51.00708008,48.38256836,49.47509766
33,49.24621582,50.92468262,48.38256836,49.48120117
33.20000076,49.16687012,50.79650879,48.34594727,49.52087402
33.40000153,49.09362793,50.70495605,48.30322266,49.45068359
33.59999847,49.01733398,50.59204102,48.33679199,49.3927002
33.79999924,48.96240234,50.51574707,48.28186035,49.38354492
34,48.94714355,50.39672852,48.26049805,49.32556152
34.20000076,48.89221191,50.28381348,48.23608398,49.33166504
34.40000153,48.79455566,50.1953125,48.2421875,49.30725098
34.59999847,48.76708984,50.07019043,48.25134277,49.30114746
34.79999924,48.67553711,49.94812012,48.1628418,49.28894043
35,48.62060547,49.83215332,48.13232422,49.23706055
35.20000076,48.56262207,49.71008301,48.15673828,49.18518066
35.40000153,48.47106934,49.59106445,48.05603027,49.11804199
35.59999847,48.48327637,49.4720459,47.96142578,49.03259277
35.79999924,48.41918945,49.3927002,47.94921875,48.98376465
36,48.32458496,49.23400879,47.96142578,48.91357422
36.20000076,48.28186035,49.12109375,47.87597656,48.84338379
36.40000153,48.26049805,49.0447998,47.88513184,48.76098633
36.59999847,48.13842773,48.93188477,47.83630371,48.71826172
36.79999924,48.11096191,48.828125,47.84545898,48.64807129
37,48.05297852,48.68164063,47.7935791,48.5748291
37.20000076,48.00109863,48.56872559,47.75085449,48.54431152
37.40000153,47.90649414,48.48022461,47.73254395,48.47106934
37.59999847,47.82714844,48.3795166,47.69592285,48.40698242
37.79999924,47.77526855,48.27270508,47.69287109,48.33679199
38,47.6776123,48.17199707,47.64099121,48.35205078
38.20000076,47.62573242,48.03771973,47.56164551,48.25439453
38.40000153,47.5402832,47.94616699,47.56164551,48.14147949
38.59999847,47.45788574,47.84240723,47.47314453,48.03771973
38.79999924,47.3815918,47.72644043,47.45178223,48.03161621
39,47.35107422,47.64099121,47.43347168,47.93395996
39.20000076,47.31445313,47.5402832,47.43652344,47.86071777
39.40000153,47.31140137,47.44873047,47.39074707,47.88513184
39.59999847,47.27783203,47.34802246,47.35717773,47.8729248
39.79999924,47.23510742,47.22900391,47.33581543,47.7722168
40,47.17712402,47.13439941,47.27478027,47.72644043
40.20000076,47.1496582,47.03674316,47.28088379,47.66235352
40.40000153,47.10388184,46.90856934,47.2442627,47.69287109
40.59999847,47.0123291,46.80480957,47.18933105,47.66540527
40.79999924,46.98181152,46.69799805,47.18322754,47.68981934
41,46.96350098,46.6003418,47.12219238,47.67150879
41.20000076,46.90856934,46.47521973,47.05505371,47.65014648
41.40000153,46.87805176,46.35620117,47.04284668,47.60437012
41.59999847,46.85668945,46.25854492,47.08557129,47.57080078
41.79999924,46.79260254,46.20056152,46.99707031,47.5402832
42,46.80480957,46.11206055,46.97265625,47.51586914
42.20000076,46.76208496,45.99914551,46.9329834,47.52197266
42.40000153,46.71936035,45.91369629,46.93603516,47.50366211
42.59999847,46.69799805,45.79162598,46.91467285,47.4029541
42.79999924,46.59729004,45.68481445,46.8170166,47.37243652
43,46.59729004,45.57800293,46.76208496,47.43652344
43.20000076,46.52709961,45.48950195,46.68273926,47.33886719
43.40000153,46.51489258,45.37658691,46.70410156,47.28088379
43.59999847,46.46911621,45.2911377,46.61560059,47.23205566
43.79999924,46.42944336,45.1385498,46.58203125,47.20153809
44,46.35314941,45.05004883,46.51794434,47.15576172
44.20000076,46.30737305,44.96765137,46.49047852,47.10998535
44.40000153,46.26464844,44.84558105,46.38977051,47.10388184
44.59999847,46.23718262,44.74487305,46.33483887,47.08251953
44.79999924,46.15478516,44.62280273,46.29211426,46.9909668
45,46.1151123,44.54650879,46.19750977,46.94213867
45.20000076,46.06628418,44.43054199,46.16088867,46.8963623
45.40000153,46.01135254,44.3359375,46.15478516,46.83532715
45.59999847,45.93200684,44.2565918,46.02050781,46.7590332
45.79999924,45.85571289,44.13452148,45.97167969,46.70715332
46,45.83435059,44.03686523,45.95336914,46.67358398
46.20000076,45.80993652,43.95751953,45.97167969,46.63696289
46.40000153,45.77331543,43.84765625,45.86486816,46.59423828
46.59999847,45.62683105,43.76831055,45.85571289,46.52404785
46.79999924,45.5871582,43.65539551,45.78552246,46.51184082
47,45.54748535,43.56689453,45.68481445,46.42333984
47.20000076,45.47424316,43.47229004,45.6451416,46.4050293
47.40000153,45.38879395,43.37463379,45.62683105,46.36535645
47.59999847,45.34606934,43.30749512,45.65124512,46.29211426
47.79999924,45.35217285,43.1854248,45.59631348,46.2097168
48,45.28808594,43.10302734,45.47729492,46.14562988
48.20000076,45.23925781,43.00842285,45.41320801,46.06018066
48.40000153,45.12329102,42.89855957,45.37963867,46.04492188
48.59999847,45.01037598,42.7947998,45.36743164,45.99914551
48.79999924,44.93103027,42.67272949,45.33081055,45.94421387
49,44.85168457,42.58117676,45.29724121,45.8190918
49.20000076,44.81506348,42.48657227,45.27893066,45.82519531
49.40000153,44.75402832,42.38891602,45.18127441,45.82824707
49.59999847,44.71435547,42.26074219,45.18737793,45.81604004
49.79999924,44.6685791,42.16003418,45.1965332,45.70922852
50,44.6105957,42.02270508,45.11108398,45.67565918
50.20000076,44.5098877,41.88537598,45.0378418,45.67260742
50.40000153,44.44580078,41.77856445,45.01342773,45.54443359
50.59999847,44.34204102,41.61987305,44.97375488,45.52307129
50.79999924,44.29016113,41.47033691,44.9005127,45.46813965
51,44.21691895,41.3482666,44.86694336,45.40100098
