Control Time [ms],WT,KCNQ1-p.R190W,KCNQ1-p.R594Q,KCNQ1-p.R190W & KCNQ1-p.R594Q,KCNQ1-p.A341V,KCNH2-p.R366X,KCNH2-p.A561V
-2.3,42.974484,11.32476,916.530708,47.921616,11.861196,21.099816,24.318432
-2.2,45.89508,13.232088,1041.997128,60.021228,11.9208,25.272096,27.358236
-2.1,49.888548,14.00694,1169.43048,73.670544,13.4109,31.053684,32.245764
-2,53.882016,14.960604,1290.963036,86.008572,14.364564,38.623392,38.802204
-1.9,59.842416,15.139416,1394.375976,98.64462,15.49704,48.696468,46.312308
-1.8,68.84262,15.914268,1460.953644,134.645436,17.58318,61.511328,57.577464
-1.7,81.180648,18.060012,1477.404348,189.600324,20.444172,77.962032,73.0149
-1.6,97.512144,19.96734,1437.171648,252.899772,24.378036,99.002244,92.863032
-1.5,120.99612,23.722392,1347.408024,338.669928,30.219228,124.333944,121.711368
-1.4,157.235352,31.172892,1242.7434,453.88446,37.908144,155.804856,165.69912
-1.3,212.48826,44.40498,1156.377204,601.225548,47.98122,196.454784,232.574808
-1.2,299.033268,69.73668,1054.871592,788.56092,63.061032,247.714224,330.027348
-1.1,441.308016,117.002652,906.040404,1037.765244,87.558276,313.51704,468.129816
-1,679.545204,196.39518,778.72626,1385.018148,127.016124,401.43294,659.339448
-0.9,1084.554384,332.173092,763.646448,1891.413732,184.951212,522.071436,919.09368
-0.8,1752.119184,588.708708,841.370064,2594.621724,274.357212,691.466004,1269.5652
-0.7,2760.082428,1045.036932,928.3323,3468.773988,428.731572,919.749324,1702.469052
-0.6,4146.9483,1751.225124,969.518664,4573.474524,660.829548,1164.483348,2168.0955
-0.5,5936.319984,2795.546808,935.842404,5948.658012,958.491924,1287.506004,2616.555996
-0.4,7848.475908,4244.69886,791.898744,7086.140748,1241.670528,1109.588064,2953.97424
-0.3,8560.684104,5897.040948,464.851596,6725.059716,1164.125724,553.244328,2531.262672
-0.2,5264.463696,5316.6768,-28.60992,2805.56028,236.568276,-173.566848,339.44478
-0.1,-2083.338612,56.504592,-432.72504,-4431.25938,-962.962224,-684.611544,-1955.60724
0,-5785.223844,-3372.632736,-557.89344,-8066.090112,-1366.183284,-824.62134,-2541.156936
0.1,-4244.162424,-2190.804624,-519.985296,-6673.621464,-1144.99284,-757.209216,-2412.948732
0.2,-2572.21062,-1105.95222,-463.540308,-4978.245288,-758.341692,-634.544184,-2190.327792
0.3,-1801.23288,-869.860776,-418.956516,-3913.062204,-442.85772,-494.7132,-1735.310856
0.4,-1212.702984,-566.238,-383.670948,-2984.6703,-269.290872,-366.087768,-1253.1741
0.5,-835.35006,-318.404568,-355.359048,-2298.211032,-180.00408,-269.529288,-879.278208
0.6,-631.385172,-190.852008,-332.173092,-1786.03386,-133.155336,-204.084096,-560.098788
0.7,-481.123488,-94.47234,-313.636248,-1357.302288,-104.068584,-161.467236,-337.06062
0.8,-365.908956,-23.424372,-298.258416,-1005.877104,-78.796488,-134.287812,-232.932432
0.9,-281.092464,23.126352,-282.940188,-717.453348,-59.544396,-116.943048,-188.885076
1,-214.455192,55.43172,-267.562356,-493.2231,-47.38518,-105.975912,-163.553376
1.1,-161.467236,76.769952,-251.171256,-337.775868,-41.305572,-98.525412,-148.652376
