Control Time [ms],WT,KCNQ1-p.R190W,KCNQ1-p.R594Q,KCNQ1-p.R190W & KCNQ1-p.R594Q,KCNQ1-p.A341V,KCNH2-p.R366X,KCNH2-p.A561V
569.7,-6.55644,2.08614,28.431108,-3.933864,-3.337824,-4.589508,11.086344
569.8,-6.437232,1.78812,28.192692,-3.755052,-3.099408,-4.649112,10.72872
569.9,-6.616044,1.907328,28.133088,-3.933864,-3.457032,-4.17228,10.847928
570,-6.496836,2.205348,28.490712,-3.755052,-3.27822,-4.351092,11.503572
570.1,-6.079608,2.38416,28.490712,-3.457032,-2.9802,-4.231884,10.967136
570.2,-6.139212,2.264952,28.252296,-3.814656,-3.099408,-4.708716,10.4307
570.3,-6.25842,1.728516,28.01388,-3.635844,-3.159012,-5.06634,10.371096
570.4,-6.020004,1.847724,28.669524,-3.218616,-3.099408,-4.410696,11.205552
570.5,-5.781588,2.205348,28.788732,-3.933864,-3.755052,-4.231884,10.788324
570.6,-6.139212,1.847724,28.133088,-3.933864,-3.159012,-4.4703,11.02674
570.7,-5.9604,1.78812,27.954276,-3.814656,-3.397428,-4.410696,11.02674
570.8,-6.020004,2.503368,28.01388,-4.291488,-3.755052,-4.291488,11.086344
570.9,-6.079608,2.205348,28.192692,-4.112676,-3.397428,-4.4703,11.086344
571,-5.841192,1.668912,28.788732,-4.053072,-3.397428,-4.708716,10.192284
571.1,-5.543172,1.609308,28.60992,-4.053072,-3.814656,-4.4703,10.72872
571.2,-5.841192,1.728516,28.550316,-4.053072,-4.053072,-4.291488,11.443968
571.3,-5.781588,1.847724,28.550316,-3.933864,-3.457032,-4.17228,10.967136
571.4,-5.483568,2.08614,28.788732,-4.4703,-3.516636,-4.529904,10.788324
571.5,-5.721984,2.145744,29.325168,-4.112676,-3.87426,-4.76832,11.384364
571.6,-5.66238,1.966932,28.669524,-4.4703,-3.57624,-4.649112,10.669116
571.7,-5.36436,1.966932,28.490712,-4.947132,-3.814656,-4.351092,11.503572
571.8,-5.423964,1.966932,29.027148,-4.291488,-3.814656,-4.17228,11.265156
571.9,-5.304756,1.728516,28.669524,-4.589508,-3.695448,-4.4703,10.490304
572,-5.125944,2.08614,29.265564,-4.947132,-4.053072,-4.649112,10.013472
572.1,-5.36436,2.264952,29.444376,-4.529904,-4.231884,-4.589508,10.490304
572.2,-5.423964,2.264952,28.90794,-4.4703,-3.87426,-4.231884,11.265156
572.3,-5.423964,2.145744,28.729128,-4.4703,-3.755052,-4.112676,10.609512
572.4,-5.602776,2.324556,28.90794,-4.947132,-3.933864,-4.351092,10.609512
572.5,-5.483568,2.205348,29.20596,-4.887528,-3.993468,-4.17228,11.02674
572.6,-5.721984,2.08614,29.50398,-4.410696,-3.993468,-4.351092,11.32476
572.7,-5.423964,2.205348,29.384772,-4.291488,-4.053072,-4.529904,11.265156
572.8,-5.36436,2.443764,28.967544,-3.993468,-3.993468,-4.4703,11.503572
572.9,-5.185548,2.264952,29.563584,-4.291488,-4.351092,-4.4703,11.861196
573,-4.649112,2.026536,29.921208,-4.351092,-3.933864,-4.4703,10.847928
573.1,-4.947132,1.728516,29.146356,-4.053072,-4.351092,-4.17228,10.847928
573.2,-4.947132,2.08614,29.027148,-3.993468,-4.231884,-4.231884,11.145948
573.3,-4.649112,2.443764,29.623188,-3.993468,-3.87426,-4.351092,10.788324
573.4,-4.649112,2.324556,29.623188,-4.231884,-4.231884,-4.589508,10.967136
573.5,-5.185548,2.68218,29.623188,-4.231884,-4.112676,-4.529904,10.72872
573.6,-5.006736,2.562972,29.921208,-4.112676,-3.635844,-4.529904,11.205552
573.7,-4.947132,2.38416,29.444376,-3.87426,-3.635844,-4.529904,11.980404
573.8,-5.36436,2.38416,29.325168,-3.993468,-4.351092,-4.649112,11.086344
573.9,-5.125944,1.847724,29.980812,-4.410696,-4.947132,-4.4703,10.490304
574,-4.947132,1.907328,29.146356,-3.993468,-4.231884,-4.4703,10.4307
574.1,-4.947132,2.503368,28.60992,-3.457032,-4.231884,-4.112676,10.490304
574.2,-5.06634,2.860992,29.20596,-3.457032,-4.4703,-3.993468,10.788324
574.3,-5.36436,2.443764,29.861604,-4.231884,-4.351092,-4.291488,11.205552
574.4,-4.947132,2.503368,29.802,-3.635844,-4.351092,-4.649112,10.669116
574.5,-5.06634,2.503368,30.219228,-3.337824,-4.529904,-4.351092,11.02674
574.6,-4.76832,2.264952,29.921208,-3.635844,-4.291488,-4.231884,11.741988
574.7,-4.4703,2.443764,29.384772,-4.053072,-4.17228,-4.351092,11.205552
574.8,-4.589508,2.68218,29.802,-4.053072,-4.291488,-4.589508,10.907532
574.9,-4.827924,2.205348,30.278832,-3.933864,-4.649112,-4.649112,11.086344
575,-5.06634,2.145744,30.219228,-3.755052,-4.887528,-4.410696,11.086344
575.1,-5.006736,2.205348,29.921208,-3.218616,-4.529904,-4.351092,10.788324
575.2,-4.708716,2.205348,30.040416,-3.695448,-4.4703,-4.112676,11.32476
575.3,-4.649112,2.205348,30.457644,-4.17228,-4.410696,-4.291488,11.205552
575.4,-4.17228,2.145744,29.980812,-4.053072,-4.4703,-4.053072,11.62278
575.5,-4.17228,2.205348,29.444376,-4.649112,-4.708716,-4.17228,11.503572
575.6,-4.4703,2.622576,29.861604,-4.76832,-4.947132,-4.351092,11.62278
575.7,-4.529904,2.324556,30.159624,-4.4703,-4.76832,-4.291488,11.801592
575.8,-4.291488,2.08614,30.159624,-3.457032,-4.291488,-4.529904,11.443968
575.9,-4.053072,2.324556,30.278832,-3.635844,-4.589508,-4.708716,10.490304
576,-3.933864,2.443764,29.682792,-4.589508,-4.649112,-4.529904,10.490304
576.1,-4.112676,2.741784,30.040416,-4.4703,-4.291488,-4.410696,11.086344
576.2,-3.993468,2.38416,30.457644,-4.053072,-4.529904,-4.351092,10.609512
576.3,-4.17228,2.38416,29.861604,-3.755052,-4.410696,-4.589508,10.609512
576.4,-4.112676,2.38416,29.802,-3.635844,-4.351092,-4.708716,11.801592
576.5,-4.112676,2.443764,30.278832,-4.4703,-4.589508,-4.649112,11.384364
576.6,-4.291488,2.264952,30.39804,-4.291488,-4.529904,-4.410696,11.384364
576.7,-4.4703,2.741784,30.636456,-4.529904,-4.351092,-4.351092,11.02674
576.8,-4.4703,2.9802,30.69606,-4.112676,-4.291488,-4.231884,10.907532
576.9,-4.17228,2.9802,30.69606,-4.112676,-4.410696,-4.4703,10.847928
577,-4.529904,2.860992,30.338436,-3.87426,-4.410696,-4.4703,11.02674
577.1,-4.291488,2.741784,30.10002,-3.87426,-4.410696,-4.231884,10.847928
577.2,-4.231884,2.562972,30.278832,-3.695448,-4.351092,-4.4703,10.847928
577.3,-3.87426,2.38416,30.457644,-3.695448,-4.351092,-4.410696,11.145948
577.4,-4.410696,2.38416,30.69606,-4.231884,-4.17228,-4.291488,10.788324
577.5,-4.231884,2.622576,30.99408,-4.410696,-4.4703,-4.410696,10.609512
577.6,-3.814656,2.68218,31.351704,-4.76832,-5.06634,-4.291488,10.788324
577.7,-4.112676,2.503368,31.053684,-4.231884,-4.529904,-4.231884,10.549908
577.8,-3.695448,2.562972,30.874872,-4.053072,-4.351092,-4.17228,10.669116
577.9,-4.231884,2.324556,30.755664,-4.351092,-4.351092,-4.231884,10.490304
578,-3.87426,2.264952,30.99408,-4.291488,-4.529904,-4.529904,10.907532
578.1,-3.516636,2.503368,31.053684,-3.755052,-4.291488,-4.410696,11.145948
578.2,-3.933864,2.920596,30.874872,-4.529904,-4.17228,-4.291488,10.847928
578.3,-3.457032,2.9802,30.278832,-4.708716,-4.529904,-4.17228,11.086344
578.4,-3.57624,2.622576,30.636456,-4.351092,-4.17228,-4.112676,11.9208
578.5,-3.516636,2.026536,30.874872,-4.351092,-4.17228,-4.17228,11.9208
578.6,-3.039804,2.264952,30.517248,-4.410696,-4.4703,-4.351092,11.205552
578.7,-2.860992,2.38416,30.10002,-4.291488,-4.291488,-4.291488,10.4307
578.8,-3.099408,2.741784,30.10002,-4.589508,-4.708716,-4.589508,10.251888
578.9,-3.695448,2.622576,30.636456,-4.827924,-4.410696,-4.4703,10.490304
579,-4.351092,2.503368,30.755664,-4.76832,-4.351092,-4.351092,10.609512
579.1,-3.87426,2.622576,30.815268,-4.589508,-4.231884,-4.827924,11.086344
579.2,-3.218616,2.741784,30.517248,-4.708716,-4.649112,-4.529904,11.384364
579.3,-3.57624,2.562972,30.99408,-4.708716,-4.589508,-4.053072,11.145948
579.4,-3.814656,2.622576,31.59012,-4.17228,-4.231884,-4.17228,11.32476
579.5,-3.87426,2.443764,31.232496,-4.529904,-4.827924,-4.053072,11.32476
579.6,-3.218616,2.503368,30.99408,-5.423964,-4.947132,-4.231884,11.145948
579.7,-2.622576,2.38416,31.053684,-4.649112,-4.17228,-4.351092,11.62278
579.8,-2.920596,2.920596,31.768932,-4.529904,-4.231884,-4.351092,10.788324
579.9,-3.218616,3.218616,31.709328,-5.185548,-4.76832,-4.112676,11.145948
580,-3.27822,2.443764,31.113288,-5.006736,-4.291488,-4.17228,12.099612
580.1,-3.218616,2.443764,31.172892,-4.4703,-4.410696,-4.17228,11.62278
580.2,-2.9802,3.039804,31.2921,-5.006736,-4.649112,-4.053072,11.145948
580.3,-2.9802,2.920596,31.88814,-5.185548,-4.351092,-4.112676,10.967136
580.4,-3.099408,2.264952,31.828536,-4.887528,-4.708716,-4.17228,11.62278
580.5,-3.337824,2.443764,31.59012,-5.125944,-4.887528,-4.112676,11.086344
580.6,-3.039804,2.920596,31.768932,-4.947132,-4.649112,-3.993468,11.443968
580.7,-2.38416,2.920596,31.768932,-4.76832,-4.351092,-3.695448,11.205552
580.8,-1.907328,2.562972,31.828536,-5.06634,-4.291488,-4.231884,11.145948
580.9,-2.68218,2.324556,32.126556,-4.827924,-5.006736,-4.291488,11.265156
581,-2.503368,2.443764,32.126556,-4.4703,-4.4703,-4.351092,10.907532
581.1,-2.264952,2.38416,31.411308,-5.006736,-3.933864,-4.17228,10.907532
581.2,-2.562972,2.562972,31.649724,-5.06634,-4.351092,-4.291488,11.02674
581.3,-2.741784,3.159012,31.768932,-4.291488,-4.708716,-4.351092,10.72872
581.4,-2.9802,2.801388,31.768932,-4.17228,-4.589508,-4.4703,11.443968
581.5,-3.218616,3.039804,32.364972,-4.649112,-4.351092,-4.76832,11.145948
581.6,-2.145744,3.218616,32.18616,-4.649112,-4.4703,-4.351092,10.967136
581.7,-1.609308,2.562972,31.828536,-4.76832,-4.17228,-4.291488,11.265156
581.8,-2.38416,2.68218,32.18616,-5.185548,-4.827924,-4.291488,11.265156
581.9,-2.503368,2.801388,32.662992,-4.76832,-4.947132,-4.351092,10.847928
582,-1.966932,2.860992,32.543784,-4.649112,-5.006736,-4.291488,10.72872
582.1,-2.741784,2.741784,32.066952,-4.529904,-5.185548,-4.529904,10.847928
582.2,-2.741784,2.9802,32.364972,-5.304756,-4.887528,-4.4703,10.847928
582.3,-2.08614,2.741784,32.364972,-5.483568,-4.827924,-4.112676,10.311492
582.4,-2.026536,2.622576,32.18616,-5.423964,-4.708716,-4.291488,10.609512
582.5,-2.324556,2.860992,32.364972,-5.006736,-5.245152,-4.529904,10.490304
582.6,-2.08614,2.920596,32.603388,-4.708716,-4.827924,-4.4703,10.13268
582.7,-2.08614,2.741784,32.662992,-4.76832,-4.410696,-4.708716,10.192284
582.8,-1.907328,2.562972,32.722596,-5.185548,-5.423964,-4.529904,10.371096
582.9,-2.08614,2.860992,32.841804,-5.304756,-5.423964,-4.529904,11.205552
583,-2.205348,2.503368,32.18616,-5.185548,-4.76832,-4.4703,10.967136
583.1,-1.907328,2.622576,32.245764,-5.125944,-4.410696,-4.4703,10.72872
583.2,-1.966932,2.860992,32.662992,-4.291488,-4.708716,-4.053072,11.443968
583.3,-1.728516,2.68218,32.543784,-4.231884,-4.887528,-4.112676,11.205552
583.4,-1.728516,2.503368,32.901408,-4.708716,-4.708716,-4.17228,11.086344
583.5,-2.205348,2.68218,33.318636,-4.76832,-4.708716,-4.17228,10.788324
583.6,-1.668912,2.9802,33.259032,-4.708716,-4.887528,-4.4703,10.371096
583.7,-1.78812,3.039804,33.139824,-4.887528,-5.006736,-4.4703,10.311492
583.8,-1.966932,2.443764,33.199428,-5.36436,-4.589508,-4.4703,10.609512
583.9,-1.668912,2.562972,33.08022,-4.708716,-4.410696,-4.17228,10.371096
584,-1.549704,2.920596,32.722596,-4.231884,-4.291488,-4.4703,10.192284
584.1,-1.668912,2.741784,33.199428,-4.112676,-4.4703,-4.589508,10.549908
584.2,-1.251684,2.860992,33.497448,-4.708716,-4.76832,-4.053072,10.4307
584.3,-1.430496,2.741784,33.199428,-4.708716,-4.351092,-3.993468,10.13268
584.4,-1.907328,2.622576,32.961012,-4.827924,-4.4703,-4.17228,9.953868
584.5,-1.78812,2.801388,32.841804,-4.708716,-4.649112,-4.410696,10.549908
584.6,-1.907328,2.741784,33.08022,-5.125944,-4.410696,-4.649112,11.145948
584.7,-1.847724,2.920596,33.616656,-5.900796,-4.231884,-4.708716,11.443968
584.8,-1.19208,2.68218,33.97428,-5.66238,-4.4703,-4.589508,10.788324
584.9,-1.4901,2.741784,33.139824,-5.245152,-4.589508,-4.410696,10.907532
585,-1.549704,2.622576,33.497448,-4.827924,-5.423964,-4.410696,10.72872
585.1,-1.19208,2.503368,33.616656,-4.887528,-5.423964,-4.4703,10.4307
585.2,-1.549704,2.443764,33.199428,-4.529904,-4.708716,-4.4703,10.490304
585.3,-1.78812,2.503368,33.318636,-4.351092,-5.006736,-4.291488,10.967136
585.4,-1.013268,2.920596,33.497448,-5.245152,-4.947132,-3.933864,11.384364
585.5,-0.89406,2.68218,33.497448,-5.602776,-4.112676,-4.17228,10.907532
585.6,-1.251684,2.443764,33.08022,-5.66238,-3.933864,-4.351092,10.788324
585.7,-1.430496,2.801388,33.616656,-5.245152,-4.589508,-4.708716,11.205552
585.8,-0.89406,3.159012,34.212696,-5.543172,-5.06634,-4.410696,10.549908
585.9,-0.774852,3.099408,34.033884,-6.020004,-4.887528,-4.112676,10.967136
586,-0.953664,2.860992,34.093488,-5.602776,-4.4703,-4.231884,11.086344
586.1,-1.370892,2.9802,34.093488,-5.06634,-4.708716,-3.933864,10.967136
586.2,-1.370892,3.039804,34.033884,-4.76832,-5.006736,-4.17228,10.669116
586.3,-1.370892,2.622576,34.331904,-5.543172,-4.589508,-4.529904,10.192284
586.4,-1.370892,2.503368,34.391508,-6.079608,-4.708716,-4.351092,11.145948
586.5,-1.072872,2.920596,34.451112,-5.841192,-4.708716,-4.17228,11.503572
586.6,-1.132476,3.27822,34.2723,-5.9604,-4.589508,-4.410696,10.72872
586.7,-1.251684,2.9802,34.331904,-5.543172,-4.291488,-4.291488,10.13268
586.8,-1.072872,3.159012,34.391508,-5.423964,-4.649112,-4.410696,10.549908
586.9,-1.370892,3.27822,34.391508,-5.483568,-4.76832,-4.589508,10.371096
587,-1.132476,3.039804,34.629924,-5.543172,-4.76832,-4.231884,10.847928
587.1,-1.251684,3.218616,34.510716,-5.36436,-5.006736,-4.589508,10.4307
587.2,-1.19208,3.516636,34.153092,-5.06634,-5.245152,-4.529904,10.788324
587.3,-1.013268,3.099408,34.749132,-5.006736,-4.4703,-4.17228,9.775056
587.4,-1.013268,2.622576,34.629924,-5.900796,-4.351092,-4.4703,9.53664
587.5,-1.013268,2.622576,34.451112,-5.9604,-4.351092,-4.827924,10.251888
587.6,-1.132476,2.443764,34.689528,-5.36436,-4.053072,-4.649112,10.073076
587.7,-0.536436,2.503368,34.57032,-6.139212,-4.529904,-4.649112,10.371096
587.8,-0.357624,2.920596,34.510716,-6.55644,-4.589508,-4.649112,11.02674
587.9,-0.536436,3.099408,34.749132,-5.9604,-4.589508,-4.708716,10.847928
588,-1.013268,2.920596,35.16636,-6.020004,-4.589508,-4.76832,10.371096
588.1,-0.953664,2.38416,35.16636,-5.781588,-4.649112,-4.529904,10.192284
588.2,-0.715248,2.562972,35.16636,-5.543172,-4.529904,-4.4703,10.371096
588.3,-0.655644,2.920596,35.106756,-6.377628,-4.351092,-4.17228,9.83466
588.4,-0.715248,3.099408,35.047152,-6.020004,-4.410696,-4.112676,10.788324
588.5,-0.655644,3.159012,35.285568,-5.543172,-4.4703,-4.649112,11.563176
588.6,-0.655644,3.397428,35.404776,-5.423964,-5.06634,-4.827924,10.669116
588.7,-0.774852,3.337824,35.345172,-6.25842,-4.947132,-4.4703,10.311492
588.8,-0.178812,3.397428,35.225964,-6.020004,-4.76832,-3.993468,10.013472
588.9,-0.238416,3.457032,35.047152,-5.900796,-4.529904,-4.291488,10.13268
589,-0.655644,2.9802,35.583588,-5.9604,-4.529904,-4.649112,10.371096
589.1,-0.655644,3.099408,35.583588,-6.198816,-4.529904,-4.649112,10.251888
589.2,-0.834456,3.27822,35.822004,-5.602776,-4.291488,-4.351092,11.02674
589.3,-0.774852,2.741784,35.941212,-6.318024,-4.351092,-4.410696,11.9208
589.4,-0.834456,2.622576,35.941212,-6.139212,-4.529904,-4.589508,10.549908
589.5,-1.013268,2.68218,35.523984,-5.66238,-4.76832,-4.529904,9.715452
589.6,-0.834456,2.920596,35.881608,-5.483568,-4.649112,-4.708716,10.371096
589.7,-0.476832,2.68218,36.000816,-6.55644,-4.410696,-4.887528,10.549908
589.8,-0.119208,2.801388,36.120024,-6.55644,-4.231884,-4.827924,10.847928
589.9,0.059604,3.099408,36.537252,-6.079608,-4.529904,-4.589508,10.371096
590,-0.357624,3.099408,36.000816,-6.139212,-4.231884,-4.589508,10.192284
590.1,-0.476832,3.099408,36.120024,-5.543172,-3.993468,-4.4703,10.4307
590.2,0.059604,2.68218,36.239232,-5.900796,-4.589508,-4.231884,10.073076
590.3,0,2.9802,36.596856,-6.020004,-4.589508,-4.231884,9.894264
590.4,-0.119208,3.218616,36.716064,-5.781588,-4.4703,-4.112676,10.788324
590.5,-0.119208,2.9802,36.477648,-5.781588,-4.4703,-4.112676,10.609512
590.6,0.059604,3.159012,36.596856,-6.020004,-4.351092,-4.291488,10.192284
590.7,-0.238416,3.457032,36.65646,-6.616044,-4.291488,-4.410696,10.013472
590.8,-0.357624,3.397428,36.835272,-6.25842,-4.529904,-4.410696,10.251888
590.9,-0.476832,3.516636,36.596856,-6.079608,-4.529904,-4.4703,10.4307
591,0.119208,3.27822,36.894876,-6.139212,-4.17228,-4.529904,10.609512
591.1,0.655644,2.860992,37.431312,-6.079608,-3.993468,-4.589508,10.13268
591.2,0.417228,3.099408,37.312104,-6.616044,-4.291488,-4.410696,9.715452
591.3,0.178812,2.9802,36.894876,-6.437232,-4.410696,-4.76832,10.311492
591.4,0.178812,3.039804,36.95448,-5.602776,-4.231884,-4.4703,10.4307
591.5,0.417228,3.516636,36.775668,-5.721984,-4.291488,-4.291488,9.953868
591.6,0.29802,3.159012,36.596856,-5.602776,-4.351092,-4.351092,9.715452
591.7,0,2.503368,36.95448,-6.079608,-4.351092,-4.649112,10.788324
591.8,0.417228,3.159012,37.490916,-6.437232,-3.814656,-4.529904,10.609512
591.9,0.119208,3.397428,37.55052,-6.139212,-3.814656,-4.529904,9.894264
592,0,3.27822,37.669728,-6.496836,-4.410696,-4.708716,9.417432
592.1,0.059604,3.337824,37.729332,-6.079608,-3.814656,-4.410696,9.53664
592.2,0.357624,3.27822,37.490916,-5.483568,-3.516636,-4.351092,10.251888
592.3,0.476832,3.516636,37.55052,-6.25842,-3.993468,-4.529904,10.4307
592.4,0.59604,3.635844,37.908144,-6.437232,-4.4703,-4.589508,9.715452
592.5,0.59604,3.57624,37.788936,-5.900796,-3.993468,-4.76832,9.953868
592.6,0.59604,3.218616,37.729332,-6.318024,-3.57624,-4.589508,10.13268
592.7,0.178812,3.397428,37.610124,-6.437232,-3.57624,-4.589508,10.311492
592.8,0.178812,3.457032,37.84854,-6.079608,-3.755052,-5.125944,10.609512
592.9,0.536436,3.516636,37.967748,-5.9604,-3.933864,-4.947132,10.4307
593,0.655644,3.27822,37.908144,-6.616044,-4.231884,-4.589508,10.847928
593.1,0.89406,3.159012,37.84854,-6.675648,-4.410696,-4.887528,9.953868
593.2,1.013268,3.159012,38.14656,-7.092876,-3.993468,-5.06634,10.371096
593.3,0.89406,3.27822,38.802204,-7.092876,-3.695448,-4.827924,11.145948
593.4,0.476832,3.159012,38.921412,-7.212084,-3.635844,-4.708716,10.549908
593.5,0,3.397428,38.7426,-7.271688,-3.814656,-4.708716,9.655848
593.6,0.417228,3.516636,38.7426,-6.735252,-4.17228,-4.529904,9.83466
593.7,0.953664,3.397428,38.7426,-6.079608,-4.17228,-4.4703,9.894264
593.8,0.89406,3.159012,38.802204,-6.55644,-4.112676,-4.76832,10.371096
593.9,0.953664,2.920596,38.623392,-6.675648,-4.291488,-4.947132,10.192284
594,1.430496,3.27822,38.265768,-6.437232,-4.112676,-4.4703,10.609512
594.1,1.19208,3.695448,38.206164,-6.735252,-4.351092,-4.231884,10.967136
594.2,0.655644,3.457032,38.861808,-6.914064,-4.410696,-4.17228,11.02674
594.3,0.953664,2.9802,39.04062,-6.496836,-3.635844,-4.231884,9.953868
594.4,1.19208,3.218616,38.861808,-6.973668,-3.27822,-4.410696,9.83466
594.5,0.953664,3.27822,39.04062,-7.15248,-3.87426,-4.351092,10.609512
594.6,0.774852,3.457032,39.04062,-6.973668,-4.053072,-4.708716,10.490304
594.7,1.251684,3.337824,38.682996,-6.675648,-3.397428,-4.589508,9.655848
594.8,1.609308,2.9802,39.398244,-7.212084,-3.218616,-4.112676,9.894264
594.9,0.715248,3.337824,39.517452,-6.973668,-4.053072,-4.231884,10.72872
595,0.476832,3.635844,39.63666,-6.735252,-4.053072,-3.814656,10.72872
595.1,1.251684,3.337824,39.457848,-6.973668,-3.695448,-3.814656,10.192284
595.2,1.728516,3.635844,39.696264,-6.496836,-3.755052,-4.4703,9.357828
595.3,1.132476,3.993468,39.93468,-6.735252,-3.87426,-4.17228,10.371096
595.4,0.834456,3.87426,40.113492,-7.74852,-3.993468,-4.291488,10.847928
595.5,1.19208,3.635844,39.93468,-7.808124,-3.814656,-4.410696,10.4307
595.6,1.370892,3.814656,39.994284,-6.973668,-3.57624,-4.410696,10.251888
595.7,1.430496,3.87426,40.411512,-7.331292,-3.57624,-4.231884,10.13268
595.8,1.549704,3.457032,40.351908,-7.927332,-3.993468,-4.053072,10.669116
595.9,1.609308,3.039804,40.351908,-7.808124,-3.814656,-4.649112,10.371096
596,1.668912,3.337824,40.471116,-7.092876,-3.993468,-4.708716,9.715452
596.1,1.847724,3.57624,40.590324,-7.331292,-3.755052,-4.649112,9.596244
596.2,1.549704,3.57624,40.351908,-7.569708,-2.920596,-4.17228,9.775056
596.3,1.132476,3.516636,40.411512,-7.033272,-3.337824,-3.993468,10.72872
596.4,1.311288,3.516636,40.590324,-6.616044,-3.87426,-4.291488,10.788324
596.5,1.4901,3.159012,40.649928,-7.033272,-3.457032,-4.529904,10.490304
596.6,1.370892,2.68218,40.709532,-7.271688,-2.9802,-4.17228,10.847928
596.7,1.549704,3.159012,40.82874,-7.4505,-3.57624,-4.053072,11.205552
596.8,1.609308,3.57624,41.007552,-7.510104,-3.57624,-4.291488,10.4307
596.9,1.549704,3.635844,41.12676,-7.808124,-3.635844,-4.410696,10.013472
597,1.847724,3.457032,41.12676,-7.390896,-3.993468,-4.112676,10.013472
597.1,1.370892,3.397428,40.888344,-7.390896,-3.755052,-4.4703,10.847928
597.2,1.19208,3.635844,40.82874,-7.4505,-3.933864,-4.112676,10.371096
597.3,1.370892,3.27822,41.484384,-7.331292,-3.337824,-3.695448,10.013472
597.4,1.370892,3.27822,41.543988,-7.331292,-3.159012,-4.4703,9.83466
597.5,1.78812,3.635844,41.42478,-7.688916,-3.516636,-4.410696,11.145948
597.6,1.549704,3.27822,41.543988,-7.867728,-3.57624,-4.231884,10.192284
597.7,1.78812,3.099408,41.901612,-7.390896,-3.159012,-4.291488,9.715452
597.8,1.728516,3.57624,41.7228,-7.510104,-2.68218,-4.291488,10.847928
597.9,1.847724,2.9802,42.02082,-7.271688,-2.920596,-4.649112,10.371096
598,2.264952,2.920596,42.259236,-7.74852,-2.9802,-4.76832,9.953868
598.1,1.966932,3.457032,41.842008,-8.165748,-3.099408,-4.649112,9.357828
598.2,1.609308,3.814656,41.603592,-7.986936,-3.755052,-4.231884,9.894264
598.3,1.966932,3.516636,42.259236,-9.000204,-3.695448,-4.291488,11.205552
598.4,1.966932,3.57624,42.080424,-8.582976,-2.920596,-4.351092,10.669116
598.5,1.907328,3.814656,41.842008,-7.688916,-2.68218,-4.17228,9.059808
598.6,2.205348,3.695448,42.080424,-8.106144,-3.218616,-3.933864,10.013472
598.7,2.145744,3.218616,42.140028,-7.867728,-3.457032,-4.053072,10.669116
598.8,2.205348,3.218616,42.497652,-7.986936,-3.27822,-3.87426,10.847928
598.9,2.324556,3.457032,42.974484,-8.106144,-3.397428,-4.17228,10.490304
599,1.966932,3.516636,42.736068,-8.34456,-3.27822,-4.589508,9.53664
599.1,2.622576,3.695448,43.2129,-8.821392,-3.27822,-4.231884,9.655848
599.2,2.443764,3.755052,43.153296,-8.880996,-3.337824,-4.291488,10.073076
599.3,2.145744,3.516636,42.795672,-7.927332,-3.397428,-4.649112,10.669116
599.4,2.08614,3.814656,42.676464,-7.688916,-3.457032,-4.17228,10.192284
599.5,2.264952,3.457032,42.676464,-8.463768,-3.397428,-4.053072,9.357828
599.6,2.38416,3.218616,43.272504,-8.284956,-2.860992,-4.4703,11.02674
599.7,1.847724,3.397428,43.391712,-7.867728,-2.801388,-4.649112,10.788324
599.8,2.205348,3.516636,43.868544,-8.106144,-3.099408,-4.649112,9.894264
599.9,2.503368,3.695448,43.689732,-8.04654,-3.218616,-4.351092,9.715452
600,2.38416,3.635844,43.51092,-7.629312,-2.741784,-3.993468,9.596244
600.1,2.622576,3.397428,43.570524,-8.04654,-2.860992,-4.410696,11.145948
600.2,2.38416,3.755052,43.868544,-8.284956,-2.9802,-4.589508,10.907532
600.3,2.443764,3.933864,43.80894,-7.331292,-2.920596,-4.4703,10.073076
600.4,2.264952,3.814656,43.689732,-7.688916,-3.695448,-4.112676,11.086344
600.5,2.622576,3.933864,43.80894,-8.64258,-3.457032,-4.410696,10.073076
600.6,2.205348,3.755052,44.345376,-8.284956,-3.039804,-4.410696,10.013472
600.7,2.205348,3.457032,44.40498,-8.284956,-3.039804,-4.529904,10.967136
600.8,2.68218,3.457032,44.226168,-8.523372,-2.920596,-4.4703,10.967136
600.9,2.860992,3.933864,44.524188,-8.582976,-2.860992,-4.410696,10.073076
601,2.68218,3.516636,44.643396,-8.582976,-2.801388,-4.4703,10.192284
601.1,2.920596,3.218616,44.822208,-9.119412,-3.27822,-4.4703,10.967136
601.2,3.039804,3.397428,44.643396,-9.059808,-3.27822,-4.351092,11.205552
601.3,2.860992,3.635844,44.762604,-8.9406,-3.27822,-4.231884,10.4307
601.4,2.741784,3.695448,45.00102,-9.059808,-2.9802,-4.589508,10.371096
601.5,2.741784,3.933864,45.239436,-8.9406,-3.039804,-3.993468,10.371096
601.6,2.860992,4.291488,45.00102,-8.761788,-3.099408,-3.993468,10.192284
601.7,2.801388,4.351092,45.120228,-8.463768,-2.920596,-4.053072,10.788324
601.8,2.9802,3.57624,45.00102,-8.9406,-3.039804,-4.17228,11.086344
601.9,3.159012,3.457032,45.120228,-9.179016,-2.920596,-4.291488,10.549908
602,2.860992,3.57624,45.418248,-8.880996,-2.801388,-4.589508,10.967136
602.1,2.860992,3.755052,45.537456,-9.298224,-3.337824,-4.410696,11.563176
602.2,3.039804,3.457032,45.179832,-9.059808,-3.039804,-4.17228,10.490304
602.3,3.159012,3.695448,44.881812,-8.761788,-2.622576,-4.4703,10.549908
