Time,Score0,Score1,Score2,Score3
,1.847724,-0.002205348,0.023901204,-0.004947132
,-2.205348,0.002145744,0.020146152,-0.004649112
,-1.609308,-0.001668912,0.021695856,-0.00327822
,-1.966932,-0.0029802,0.021815064,0.000536436
,-0.655644,0.001132476,0.02324556,-0.000655644
,3.755052,0.001251684,0.022113084,-0.00625842
,3.099408,-0.004529904,0.021517044,-0.011741988
,-1.311288,-0.000536436,0.018596448,-0.00774852
,-2.264952,-0.003993468,0.01519902,-0.010788324
,-2.562972,-0.003635844,0.021934272,-0.01221882
,-0.059604,0.001251684,0.019550112,-0.008463768
,0.536436,0.000715248,0.018954072,-0.003755052
,-3.039804,-0.004649112,0.023424372,-0.005900796
,0.715248,-0.001251684,0.022709124,-0.006377628
,4.053072,0.002860992,0.020384568,-0.003814656
,0.774852,0.001013268,0.023364768,-0.00238416
,0.655644,-0.000178812,0.028192692,-0.003933864
,2.503368,-0.001549704,0.021934272,-0.007569708
,5.602776,-0.003993468,0.016927536,-0.005781588
,3.218616,-0.00238416,0.016629516,-0.006437232
,1.78812,-0.002503368,0.01847724,-0.005483568
,2.562972,-0.002026536,0.021636252,-0.002920596
,-1.072872,-0.003516636,0.022470708,-0.008582976
,-4.76832,-0.0029802,0.022828332,-0.004887528
,-2.026536,0.001251684,0.022172688,0.000655644
,-2.860992,0.004231884,0.019132884,-0.002264952
,-1.311288,0.001609308,0.0223515,-0.003099408
,-0.417228,-0.000119208,0.026404572,-0.005781588
,0.29802,0.002324556,0.026762196,-0.00476832
,1.013268,0.00208614,0.025987344,-0.002920596
,-4.17228,0.000119208,0.024258828,-0.002324556
,-2.324556,-0.001847724,0.022709124,-0.003099408
,-0.59604,0.002205348,0.02354358,-0.0029802
,-1.78812,0.003159012,0.020980608,-0.004589508
,0.59604,0.002443764,0.021993876,-0.005125944
,1.370892,-0.001966932,0.021278628,-0.006198816
,-4.887528,-0.001549704,0.02026536,-0.00506634
,-2.741784,-0.00059604,0.023722392,-0.006675648
,-0.119208,0.002741784,0.020980608,-0.003993468
,-3.814656,0.00208614,0.020146152,-0.006496836
,-2.801388,-0.003397428,0.020086548,-0.009417432
,-2.622576,-0.002026536,0.01907328,-0.007390896
,-1.549704,0.00119208,0.026941008,-0.001013268
,-0.536436,0.001549704,0.027656256,0.000417228
,-0.536436,-0.006735252,0.022768728,-0.006318024
,-1.19208,-0.002324556,0.021815064,-0.002443764
,-2.08614,0.000774852,0.022470708,-0.001728516
,-3.695448,-0.001132476,0.02175546,-0.002920596
,1.4901,-0.00059604,0.021576648,0.000119208
,8.404164,0.000476832,0.020146152,-0.003099408
,3.993468,-0.003814656,0.018834864,-0.00566238
,1.907328,-0.004351092,0.020980608,-0.004887528
,-0.238416,-0.00387426,0.021278628,-0.005423964
,1.072872,-0.004410696,0.021934272,-0.00983466
,1.4901,-0.000357624,0.02264952,-0.003755052
,-0.59604,0.000238416,0.022232292,-0.002145744
,-2.622576,-0.001549704,0.025510512,-0.009894264
,-4.112676,-0.003218616,0.024974076,-0.008165748
,-3.457032,-0.005781588,0.021219024,-0.0059604
,-0.357624,-0.002801388,0.023781996,-0.007688916
,1.728516,-0.00506634,0.024556848,-0.001609308
,0.59604,-0.00804654,0.020921004,-0.003039804
,-2.9802,-0.005006736,0.021934272,-0.010311492
,-2.08614,-0.005423964,0.023722392,-0.007867728
,1.609308,0.002443764,0.022828332,-0.004529904
,0.417228,0.003814656,0.021636252,-0.003993468
,-3.397428,-0.004231884,0.021517044,-0.003933864
,-3.159012,-0.00387426,0.022232292,-0.00357624
,-0.655644,-0.001847724,0.023364768,-0.005721984
,-1.668912,-0.003337824,0.022768728,-0.004351092
,-4.4703,-0.0014901,0.017046744,-0.006914064
,-3.397428,-0.00208614,0.019788528,-0.008582976
,-0.834456,-0.004589508,0.023066748,-0.00715248
,1.549704,-0.005423964,0.023126352,-0.002801388
,-2.801388,-0.002324556,0.021278628,-0.001549704
,-2.264952,-0.001251684,0.02503368,-0.002026536
,-3.933864,-0.005483568,0.022530312,-0.001907328
,-4.589508,-0.005304756,0.019728924,-0.003397428
,0.774852,-0.003635844,0.01847724,-0.006139212
,1.668912,-0.005185548,0.01519902,-0.005781588
,-3.457032,-0.001847724,0.017404368,-0.002562972
,0.357624,0.001609308,0.02264952,-0.006139212
,1.549704,0.000476832,0.01877526,-0.009715452
,-3.099408,-0.0044703,0.024854868,-0.006079608
,-1.668912,-0.00804654,0.023901204,-0.001013268
,1.251684,-0.005125944,0.022768728,-0.001668912
,-1.311288,-0.002026536,0.021874668,-0.007569708
,-1.4901,-0.001549704,0.016748724,-0.009119412
,0,-0.001430496,0.019848132,-0.000178812
,-0.059604,0.00327822,0.024974076,-0.000417228
,-2.205348,0.00238416,0.026642988,-0.001013268
,-3.337824,-0.000476832,0.024080016,-0.003516636
,-3.695448,-0.004053072,0.020205756,-0.003159012
,4.4703,-0.002026536,0.023364768,-0.006675648
,4.708716,-0.003159012,0.023185956,-0.008821392
,-2.503368,-0.004887528,0.025152888,-0.00327822
,-3.159012,-0.005423964,0.018119616,-0.002920596
,-3.159012,-0.004231884,0.021993876,-0.00625842
,-0.059604,-0.005125944,0.024914472,-0.004947132
,0.59604,-0.002622576,0.023126352,0.000417228
,-0.29802,-0.001370892,0.021338232,-0.001907328
,1.072872,-0.001132476,0.025272096,-0.009119412
,-1.668912,-0.0029802,0.023066748,-0.004589508
,-1.847724,-0.0029802,0.019311696,-0.002622576
,-1.966932,-0.002264952,0.021040212,-0.00327822
,-1.907328,-0.0029802,0.020324964,-0.000417228
,-1.966932,-0.001251684,0.0163911,-0.002503368
,-2.38416,-0.0014901,0.02264952,-0.00119208
,1.728516,-0.00268218,0.022172688,-0.005125944
,0.059604,-0.00685446,0.017761992,-0.005900796
,2.68218,-0.005900796,0.016569912,-0.002145744
,3.87426,-0.003099408,0.01817922,-0.00476832
,-0.29802,-0.001966932,0.021397836,-0.007808124
,-2.205348,-0.000774852,0.025093284,-0.006079608
,2.860992,0.002503368,0.023901204,-0.004589508
,1.847724,0.003099408,0.020980608,-0.003695448
,-2.38416,-0.0044703,0.021695856,-0.003755052
,-3.516636,-0.006139212,0.022172688,-0.00983466
,-3.993468,-0.00238416,0.018358032,-0.005483568
,1.072872,-0.00268218,0.018536844,-0.004291488
,0.655644,-0.0044703,0.025152888,-0.005721984
,-1.4901,-0.005483568,0.025152888,-0.00536436
,-1.311288,-0.0059604,0.024080016,-0.00417228
,2.264952,-0.005304756,0.02175546,-0.007212084
,2.205348,-0.007808124,0.0193713,-0.003397428
,-0.953664,-0.005304756,0.020086548,-0.007629312
,-4.291488,-0.001728516,0.022828332,-0.012159216
